Pi Timestamp,Arduino Time (ms),Inlet Flow (L/min),Outlet Flow (L/min),Inlet Pressure (PSI),Outlet Pressure (PSI)
2025-05-03 21:19:24.960,69000,0.00,0.00,0.00,0.00
2025-05-03 21:19:24.961,69100,0.00,0.00,0.00,0.00
2025-05-03 21:19:24.963,69200,0.00,0.00,0.00,0.00
2025-05-03 21:19:24.966,69300,0.00,0.00,0.00,0.00
2025-05-03 21:19:24.970,200,0.00,80.00,0.00,0.00
2025-05-03 21:19:24.972,300,0.00,0.00,0.00,0.00
2025-05-03 21:19:24.973,400,0.00,0.00,0.00,0.00
2025-05-03 21:19:24.998,500,0.00,0.00,0.00,0.00
2025-05-03 21:19:25.098,600,0.00,0.00,0.00,0.00
2025-05-03 21:19:25.196,700,0.00,0.00,0.00,0.00
2025-05-03 21:19:25.295,800,0.00,0.00,0.00,0.00
2025-05-03 21:19:25.395,900,0.00,0.00,0.00,0.00
2025-05-03 21:19:25.496,1000,0.00,0.00,0.00,0.00
2025-05-03 21:19:25.595,1100,0.00,0.00,0.00,0.00
2025-05-03 21:19:25.695,1200,0.00,0.00,0.00,0.00
2025-05-03 21:19:25.795,1300,0.00,0.00,0.00,0.00
2025-05-03 21:19:25.894,1400,0.00,0.00,0.00,0.00
2025-05-03 21:19:26.000,1500,0.00,80.00,0.00,0.00
2025-05-03 21:19:26.095,1600,0.00,0.00,0.00,0.00
2025-05-03 21:19:26.199,1700,0.00,0.00,0.00,0.00
2025-05-03 21:19:26.295,1800,0.00,0.00,0.00,0.00
2025-05-03 21:19:26.397,1900,0.00,0.00,0.00,0.00
2025-05-03 21:19:26.498,2000,0.00,0.00,0.00,0.00
2025-05-03 21:19:26.595,2100,0.00,0.00,0.00,0.00
2025-05-03 21:19:26.699,2200,0.00,80.00,0.00,0.00
2025-05-03 21:19:26.795,2300,0.00,0.00,0.00,0.00
2025-05-03 21:19:26.894,2400,0.00,0.00,0.00,0.00
2025-05-03 21:19:26.996,2500,0.00,0.00,0.00,0.00
2025-05-03 21:19:27.097,2600,0.00,80.00,0.00,0.00
2025-05-03 21:19:27.198,2700,0.00,0.00,0.00,0.00
2025-05-03 21:19:27.295,2800,0.00,0.00,0.00,0.00
2025-05-03 21:19:27.399,2900,0.00,0.00,0.00,0.00
2025-05-03 21:19:27.496,3000,0.00,80.00,0.00,0.00
2025-05-03 21:19:27.593,3100,80.00,0.00,0.00,0.00
2025-05-03 21:19:27.692,3200,0.00,0.00,0.00,0.00
2025-05-03 21:19:27.794,3300,0.00,80.00,0.00,0.00
2025-05-03 21:19:27.892,3400,0.00,0.00,0.00,0.00
2025-05-03 21:19:27.997,3500,80.00,0.00,0.00,0.00
2025-05-03 21:19:28.094,3600,0.00,80.00,0.00,0.00
2025-05-03 21:19:28.196,3700,0.00,0.00,0.00,0.00
2025-05-03 21:19:28.295,3800,0.00,0.00,0.00,0.00
2025-05-03 21:19:28.397,3900,80.00,80.00,0.00,0.00
2025-05-03 21:19:28.495,4000,0.00,0.00,0.00,0.00
2025-05-03 21:19:28.597,4100,0.00,160.00,0.00,0.00
2025-05-03 21:19:28.695,4200,0.00,0.00,0.00,0.00
2025-05-03 21:19:28.798,4300,80.00,80.00,0.00,0.00
2025-05-03 21:19:28.896,4400,0.00,80.00,0.00,0.00
2025-05-03 21:19:28.995,4500,0.00,0.00,0.00,0.00
2025-05-03 21:19:29.097,4600,80.00,80.00,0.00,0.00
2025-05-03 21:19:29.195,4700,0.00,0.00,0.00,0.00
2025-05-03 21:19:29.298,4800,80.00,80.00,0.00,0.00
2025-05-03 21:19:29.395,4900,0.00,0.00,0.00,0.00
2025-05-03 21:19:29.495,5000,0.00,0.00,0.00,0.00
2025-05-03 21:19:29.594,5100,0.00,80.00,0.00,0.00
2025-05-03 21:19:29.695,5200,80.00,0.00,0.00,0.00
2025-05-03 21:19:29.795,5300,0.00,0.00,0.00,0.00
2025-05-03 21:19:29.897,5400,80.00,80.00,0.00,0.00
2025-05-03 21:19:29.995,5500,0.00,0.00,0.00,0.00
2025-05-03 21:19:30.092,5600,0.00,0.00,0.00,0.00
2025-05-03 21:19:30.195,5700,80.00,80.00,0.00,0.00
2025-05-03 21:19:30.293,5800,0.00,0.00,0.00,0.00
2025-05-03 21:19:30.391,5900,0.00,0.00,0.00,0.00
2025-05-03 21:19:30.495,6000,80.00,80.00,0.00,0.00
2025-05-03 21:19:30.592,6100,0.00,0.00,0.00,0.00
2025-05-03 21:19:30.698,6200,80.00,80.00,0.00,0.00
2025-05-03 21:19:30.792,6300,0.00,0.00,0.00,0.00
2025-05-03 21:19:30.890,6400,0.00,0.00,0.00,0.00
2025-05-03 21:19:30.993,6500,80.00,80.00,0.00,0.00
2025-05-03 21:19:31.092,6600,0.00,0.00,0.00,0.00
2025-05-03 21:19:31.194,6700,80.00,80.00,0.00,0.00
2025-05-03 21:19:31.295,6800,0.00,0.00,0.00,0.00
2025-05-03 21:19:31.391,6900,0.00,0.00,0.00,0.00
2025-05-03 21:19:31.493,7000,80.00,80.00,0.00,0.00
2025-05-03 21:19:31.595,7100,0.00,0.00,0.00,0.00
2025-05-03 21:19:31.693,7200,80.00,80.00,0.00,0.00
2025-05-03 21:19:31.794,7300,0.00,0.00,0.00,0.00
2025-05-03 21:19:31.894,7400,80.00,0.00,0.00,0.00
2025-05-03 21:19:31.992,7500,0.00,80.00,0.00,0.00
2025-05-03 21:19:32.095,7600,80.00,80.00,0.00,0.00
2025-05-03 21:19:32.193,7700,0.00,80.00,0.00,0.00
2025-05-03 21:19:32.292,7800,80.00,0.00,0.00,0.00
2025-05-03 21:19:32.395,7900,0.00,80.00,0.00,0.00
2025-05-03 21:19:32.492,8000,0.00,0.00,0.00,0.00
2025-05-03 21:19:32.594,8100,80.00,0.00,0.00,0.00
2025-05-03 21:19:32.693,8200,0.00,80.00,0.00,0.00
2025-05-03 21:19:32.791,8300,80.00,0.00,0.00,0.00
2025-05-03 21:19:32.893,8400,0.00,80.00,0.00,0.00
2025-05-03 21:19:32.993,8500,80.00,0.00,0.00,0.00
2025-05-03 21:19:33.094,8600,0.00,80.00,0.00,0.00
2025-05-03 21:19:33.192,8700,80.00,0.00,0.00,0.00
2025-05-03 21:19:33.291,8800,0.00,0.00,0.00,0.00
2025-05-03 21:19:33.394,8900,80.00,80.00,0.00,0.00
2025-05-03 21:19:33.491,9000,0.00,0.00,0.00,0.00
2025-05-03 21:19:33.597,9100,80.00,80.00,0.00,0.00
2025-05-03 21:19:33.692,9200,0.00,0.00,0.00,0.00
2025-05-03 21:19:33.794,9300,80.00,80.00,0.00,0.00
2025-05-03 21:19:33.889,9400,0.00,0.00,0.00,0.00
2025-05-03 21:19:33.991,9500,80.00,80.00,0.00,0.00
2025-05-03 21:19:34.089,9600,0.00,0.00,0.00,0.00
2025-05-03 21:19:34.193,9700,0.00,80.00,0.00,0.00
2025-05-03 21:19:34.290,9800,80.00,0.00,0.00,0.00
2025-05-03 21:19:34.393,9900,0.00,80.00,0.00,0.00
2025-05-03 21:19:34.495,10000,80.00,0.00,0.00,0.00
2025-05-03 21:19:34.593,10100,0.00,0.00,0.00,0.00
2025-05-03 21:19:34.692,10200,80.00,80.00,0.00,0.00
2025-05-03 21:19:34.790,10300,0.00,0.00,0.00,0.00
2025-05-03 21:19:34.892,10400,80.00,80.00,0.00,0.00
2025-05-03 21:19:34.991,10500,0.00,0.00,0.00,0.00
2025-05-03 21:19:35.095,10600,80.00,80.00,0.00,0.00
2025-05-03 21:19:35.191,10700,0.00,0.00,0.00,0.00
2025-05-03 21:19:35.295,10800,80.00,80.00,0.00,0.00
2025-05-03 21:19:35.395,10900,0.00,0.00,0.00,0.00
2025-05-03 21:19:35.494,11000,80.00,80.00,0.00,0.00
2025-05-03 21:19:35.593,11100,80.00,0.00,0.00,0.00
2025-05-03 21:19:35.691,11200,0.00,80.00,0.00,0.00
2025-05-03 21:19:35.793,11300,80.00,0.00,0.00,0.00
2025-05-03 21:19:35.892,11400,0.00,0.00,0.00,0.00
2025-05-03 21:19:35.997,11500,80.00,80.00,0.00,0.00
2025-05-03 21:19:36.095,11600,0.00,0.00,0.00,0.00
2025-05-03 21:19:36.191,11700,80.00,80.00,0.00,0.00
2025-05-03 21:19:36.293,11800,80.00,0.00,0.00,0.00
2025-05-03 21:19:36.393,11900,0.00,80.00,0.00,0.00
2025-05-03 21:19:36.491,12000,80.00,0.00,0.00,0.00
2025-05-03 21:19:36.593,12100,0.00,80.00,0.00,0.00
2025-05-03 21:19:36.691,12200,80.00,0.00,0.00,0.00
2025-05-03 21:19:36.793,12300,80.00,80.00,0.00,0.00
2025-05-03 21:19:36.891,12400,0.00,0.00,0.00,0.00
2025-05-03 21:19:36.993,12500,80.00,0.00,0.00,0.00
2025-05-03 21:19:37.091,12600,0.00,80.00,0.00,0.00
2025-05-03 21:19:37.190,12700,80.00,0.00,0.00,0.00
2025-05-03 21:19:37.293,12800,80.00,80.00,0.00,0.00
2025-05-03 21:19:37.391,12900,0.00,0.00,0.00,0.00
2025-05-03 21:19:37.493,13000,80.00,80.00,0.00,0.00
2025-05-03 21:19:37.587,13100,0.00,0.00,0.00,0.00
2025-05-03 21:19:37.689,13200,80.00,80.00,0.00,0.00
2025-05-03 21:19:37.792,13300,80.00,0.00,0.00,0.00
2025-05-03 21:19:37.890,13400,0.00,0.00,0.00,0.00
2025-05-03 21:19:37.994,13500,80.00,80.00,0.00,0.00
2025-05-03 21:19:38.092,13600,80.00,0.00,0.00,0.00
2025-05-03 21:19:38.190,13700,0.00,80.00,0.00,0.00
2025-05-03 21:19:38.291,13800,80.00,0.00,0.00,0.00
2025-05-03 21:19:38.390,13900,80.00,80.00,0.00,0.00
2025-05-03 21:19:38.489,14000,0.00,0.00,0.00,0.00
2025-05-03 21:19:38.592,14100,80.00,80.00,0.00,0.00
2025-05-03 21:19:38.695,14200,80.00,80.00,0.00,0.00
2025-05-03 21:19:38.792,14300,80.00,0.00,0.00,0.00
2025-05-03 21:19:38.891,14400,0.00,80.00,0.00,0.00
2025-05-03 21:19:38.993,14500,80.00,0.00,0.00,0.00
2025-05-03 21:19:39.091,14600,80.00,80.00,0.00,0.00
2025-05-03 21:19:39.189,14700,0.00,80.00,0.00,0.00
2025-05-03 21:19:39.292,14800,80.00,80.00,0.00,0.00
2025-05-03 21:19:39.389,14900,80.00,0.00,0.00,0.00
2025-05-03 21:19:39.495,15000,80.00,80.00,0.00,0.00
2025-05-03 21:19:39.591,15100,0.00,0.00,0.00,0.00
2025-05-03 21:19:39.690,15200,80.00,80.00,0.00,0.00
2025-05-03 21:19:39.791,15300,80.00,80.00,0.00,0.00
2025-05-03 21:19:39.889,15400,80.00,0.00,0.00,0.00
2025-05-03 21:19:39.988,15500,0.00,80.00,0.00,0.00
2025-05-03 21:19:40.091,15600,80.00,0.00,0.00,0.00
2025-05-03 21:19:40.193,15700,80.00,80.00,0.00,0.00
2025-05-03 21:19:40.291,15800,80.00,0.00,0.00,0.00
2025-05-03 21:19:40.389,15900,80.00,0.00,0.00,0.00
2025-05-03 21:19:40.487,16000,0.00,80.00,0.00,0.00
2025-05-03 21:19:40.589,16100,80.00,0.00,0.00,0.00
2025-05-03 21:19:40.692,16200,80.00,80.00,0.00,0.00
2025-05-03 21:19:40.791,16300,80.00,0.00,0.00,0.00
2025-05-03 21:19:40.888,16400,80.00,80.00,0.00,0.00
2025-05-03 21:19:40.987,16500,0.00,0.00,0.00,0.00
2025-05-03 21:19:41.089,16600,80.00,80.00,0.00,0.00
2025-05-03 21:19:41.191,16700,80.00,80.00,0.00,0.00
2025-05-03 21:19:41.290,16800,80.00,0.00,0.00,0.00
2025-05-03 21:19:41.388,16900,80.00,80.00,0.00,0.00
2025-05-03 21:19:41.487,17000,80.00,0.00,0.00,0.00
2025-05-03 21:19:41.591,17100,0.00,80.00,0.00,0.00
2025-05-03 21:19:41.687,17200,80.00,80.00,0.00,0.00
2025-05-03 21:19:41.789,17300,80.00,0.00,0.00,0.00
2025-05-03 21:19:41.887,17400,80.00,80.00,0.00,0.00
2025-05-03 21:19:41.986,17500,80.00,0.00,0.00,0.00
2025-05-03 21:19:42.088,17600,0.00,80.00,0.00,0.00
2025-05-03 21:19:42.187,17700,80.00,0.00,0.00,0.00
2025-05-03 21:19:42.289,17800,80.00,0.00,0.00,0.00
