Pi Timestamp,Arduino Time (ms),Pulse Count (Inlet)
2025-05-04 18:34:43.210,1000,0
2025-05-04 18:34:43.710,1500,0
2025-05-04 18:34:44.209,2000,0
2025-05-04 18:34:44.709,2500,0
2025-05-04 18:34:45.209,3000,0
2025-05-04 18:34:45.709,3500,0
2025-05-04 18:34:46.208,4000,0
2025-05-04 18:34:46.708,4500,0
2025-05-04 18:34:47.208,5000,0
2025-05-04 18:34:47.708,5500,0
2025-05-04 18:34:48.207,6000,0
2025-05-04 18:34:48.707,6500,0
2025-05-04 18:34:49.207,7000,0
2025-05-04 18:34:49.706,7500,0
2025-05-04 18:34:50.206,8000,4
2025-05-04 18:34:50.706,8500,3
2025-05-04 18:34:51.205,9000,3
2025-05-04 18:34:51.705,9500,3
2025-05-04 18:34:52.205,10000,3
2025-05-04 18:34:52.704,10500,3
2025-05-04 18:34:53.204,11000,3
2025-05-04 18:34:53.704,11500,3
2025-05-04 18:34:54.204,12000,3
2025-05-04 18:34:54.703,12500,3
2025-05-04 18:34:55.203,13000,4
2025-05-04 18:34:55.703,13500,3
2025-05-04 18:34:56.202,14000,4
2025-05-04 18:34:56.702,14500,3
2025-05-04 18:34:57.202,15000,2
2025-05-04 18:34:57.701,15500,1
2025-05-04 18:34:58.201,16000,0
2025-05-04 18:34:58.701,16500,0
2025-05-04 18:34:59.200,17000,0
2025-05-04 18:34:59.700,17500,0
2025-05-04 18:35:00.200,18000,0
2025-05-04 18:35:00.699,18500,0
2025-05-04 18:35:01.199,19000,0
2025-05-04 18:35:01.699,19500,0
2025-05-04 18:35:02.199,20000,0
2025-05-04 18:35:02.698,20500,0
2025-05-04 18:35:03.198,21000,0
2025-05-04 18:35:03.698,21500,0
2025-05-04 18:35:04.198,22000,0
2025-05-04 18:35:04.698,22500,0
2025-05-04 18:35:05.197,23000,0
2025-05-04 18:35:05.696,23500,0
2025-05-04 18:35:06.197,24000,0
2025-05-04 18:35:06.696,24500,0
