Pi Timestamp,Arduino Time (ms),Pulse Count (Inlet)
2025-05-04 18:36:35.871,1000,0
2025-05-04 18:36:36.370,1500,0
2025-05-04 18:36:36.870,2000,0
2025-05-04 18:36:37.370,2500,0
2025-05-04 18:36:37.869,3000,0
2025-05-04 18:36:38.369,3500,0
2025-05-04 18:36:38.869,4000,0
2025-05-04 18:36:39.368,4500,0
2025-05-04 18:36:39.868,5000,0
2025-05-04 18:36:40.368,5500,0
2025-05-04 18:36:40.868,6000,0
2025-05-04 18:36:41.367,6500,0
2025-05-04 18:36:41.867,7000,0
2025-05-04 18:36:42.367,7500,0
2025-05-04 18:36:42.866,8000,0
2025-05-04 18:36:43.366,8500,2
2025-05-04 18:36:43.866,9000,3
2025-05-04 18:36:44.365,9500,3
2025-05-04 18:36:44.865,10000,3
2025-05-04 18:36:45.365,10500,3
2025-05-04 18:36:45.869,11000,3
2025-05-04 18:36:46.364,11500,3
2025-05-04 18:36:46.864,12000,4
2025-05-04 18:36:47.368,12500,4
2025-05-04 18:36:47.867,13000,4
2025-05-04 18:36:48.363,13500,3
2025-05-04 18:36:48.863,14000,4
2025-05-04 18:36:49.366,14500,3
2025-05-04 18:36:49.866,15000,2
2025-05-04 18:36:50.362,15500,0
2025-05-04 18:36:50.862,16000,0
2025-05-04 18:36:51.365,16500,0
2025-05-04 18:36:51.865,17000,0
2025-05-04 18:36:52.361,17500,0
2025-05-04 18:36:52.864,18000,0
2025-05-04 18:36:53.364,18500,0
2025-05-04 18:36:53.864,19000,0
2025-05-04 18:36:54.359,19500,0
2025-05-04 18:36:54.863,20000,0
2025-05-04 18:36:55.363,20500,0
2025-05-04 18:36:55.862,21000,0
2025-05-04 18:36:56.362,21500,0
2025-05-04 18:36:56.862,22000,0
2025-05-04 18:36:57.362,22500,0
2025-05-04 18:36:57.861,23000,0
2025-05-04 18:36:58.361,23500,0
2025-05-04 18:36:58.861,24000,0
2025-05-04 18:36:59.360,24500,0
2025-05-04 18:36:59.860,25000,0
2025-05-04 18:37:00.360,25500,0
2025-05-04 18:37:00.860,26000,0
2025-05-04 18:37:01.361,26500,0
2025-05-04 18:37:01.859,27000,0
2025-05-04 18:37:02.358,27500,0
2025-05-04 18:37:02.858,28000,0
