Pi Timestamp,Arduino Time (ms),Inlet Flow (L/min),Outlet Flow (L/min),Inlet Pressure (PSI),Outlet Pressure (PSI),Motor Current (A),Motor Voltage (V),Motor RPM
2025-05-04 17:23:53.470,309000,0.00,0.00,0.00,0.00,-2.131,12.671,1718.87
2025-05-04 17:23:53.471,309100,0.00,0.00,0.00,0.00,-2.131,12.671,1718.87
2025-05-04 17:23:53.472,309200,0.00,0.00,0.00,0.00,-2.131,12.671,1718.87
2025-05-04 17:23:53.472,309300,0.00,0.00,0.00,0.00,-2.131,12.671,1718.87
2025-05-04 17:23:53.473,100,0.00,0.00,0.00,0.00,-2.131,12.671,1718.87
2025-05-04 17:23:53.474,200,0.00,0.00,0.00,0.00,-2.131,12.671,1718.87
2025-05-04 17:23:53.474,300,0.00,0.00,0.00,0.00,-2.131,12.671,1718.87
2025-05-04 17:23:53.475,400,0.00,0.00,0.00,0.00,-2.131,12.671,1718.87
2025-05-04 17:23:53.504,500,0.00,0.00,0.00,0.00,-2.131,12.671,1718.87
2025-05-04 17:23:53.604,600,0.00,0.00,0.00,0.00,-2.131,12.671,1718.87
2025-05-04 17:23:53.705,700,80.00,0.00,0.00,0.00,-1.916,12.671,1860.29
2025-05-04 17:23:53.803,800,0.00,0.00,0.00,0.00,-1.916,13.513,1860.29
2025-05-04 17:23:53.906,900,80.00,80.00,0.00,0.00,-1.916,13.513,1994.22
2025-05-04 17:23:54.005,1000,0.00,0.00,0.00,0.00,-2.113,14.004,1994.22
2025-05-04 17:23:54.108,1100,80.00,0.00,0.00,0.00,-2.113,14.004,1994.22
2025-05-04 17:23:54.206,1200,80.00,0.00,0.00,0.00,-1.415,14.004,2076.84
2025-05-04 17:23:54.307,1300,80.00,0.00,0.00,0.00,-1.415,14.120,2076.84
2025-05-04 17:23:54.405,1400,80.00,0.00,0.00,0.00,-1.415,14.120,2083.99
2025-05-04 17:23:54.509,1500,80.00,80.00,0.00,0.00,-1.647,14.140,2083.99
2025-05-04 17:23:54.606,1600,80.00,0.00,0.00,0.00,-1.647,14.140,2083.99
2025-05-04 17:23:54.716,1700,160.00,0.00,0.00,0.00,-1.665,14.142,2097.68
2025-05-04 17:23:54.806,1800,160.00,80.00,0.00,0.00,-1.665,14.142,2097.68
2025-05-04 17:23:54.906,1900,160.00,0.00,0.00,0.00,-1.665,14.142,2103.92
2025-05-04 17:23:55.007,2000,80.00,80.00,0.00,0.00,-1.325,14.146,2103.92
2025-05-04 17:23:55.108,2100,80.00,0.00,0.00,0.00,-1.325,14.146,2103.92
2025-05-04 17:23:55.208,2200,160.00,80.00,0.00,0.00,-2.077,14.146,2075.88
2025-05-04 17:23:55.307,2300,80.00,80.00,0.00,0.00,-2.077,14.123,2075.88
2025-05-04 17:23:55.404,2400,240.00,0.00,0.00,0.00,-2.077,14.123,2082.22
2025-05-04 17:23:55.507,2500,160.00,80.00,0.00,0.00,-2.006,14.124,2082.22
2025-05-04 17:23:55.605,2600,80.00,80.00,0.00,0.00,-2.006,14.124,2082.22
2025-05-04 17:23:55.708,2700,240.00,80.00,0.00,0.00,-2.006,14.124,2084.21
2025-05-04 17:23:55.807,2800,160.00,0.00,0.00,0.00,-1.200,14.114,2084.21
2025-05-04 17:23:55.908,2900,240.00,80.00,0.00,0.00,-1.200,14.114,2084.21
2025-05-04 17:23:56.006,3000,160.00,80.00,0.00,0.00,-2.024,14.107,2088.57
2025-05-04 17:23:56.110,3100,240.00,80.00,0.00,0.00,-2.024,14.107,2088.57
2025-05-04 17:23:56.207,3200,320.00,80.00,0.00,0.00,-2.024,14.107,2072.54
2025-05-04 17:23:56.306,3300,240.00,80.00,0.00,0.00,-1.809,14.026,2072.54
2025-05-04 17:23:56.408,3400,160.00,80.00,0.00,0.00,-1.809,14.026,2072.54
2025-05-04 17:23:56.507,3500,160.00,80.00,0.00,0.00,-1.343,13.891,2054.58
2025-05-04 17:23:56.605,3600,240.00,80.00,0.00,0.00,-1.343,13.891,2054.58
2025-05-04 17:23:56.707,3700,240.00,80.00,0.00,0.00,-1.343,13.891,2047.83
2025-05-04 17:23:56.805,3800,240.00,80.00,0.00,0.00,-2.256,13.788,2047.83
2025-05-04 17:23:56.908,3900,160.00,80.00,0.00,0.00,-2.256,13.788,2047.83
2025-05-04 17:23:57.006,4000,240.00,80.00,0.00,0.00,-1.934,13.887,2025.97
2025-05-04 17:23:57.105,4100,160.00,80.00,0.00,0.00,-1.934,13.887,2025.97
2025-05-04 17:23:57.208,4200,240.00,80.00,0.00,0.00,-1.934,13.887,2049.57
2025-05-04 17:23:57.305,4300,240.00,80.00,0.00,0.00,-1.665,13.932,2049.57
2025-05-04 17:23:57.408,4400,240.00,80.00,0.00,0.00,-1.665,13.932,2049.57
2025-05-04 17:23:57.506,4500,240.00,160.00,0.00,0.00,-2.131,13.990,2058.76
2025-05-04 17:23:57.608,4600,240.00,80.00,0.00,0.00,-2.131,13.990,2058.76
2025-05-04 17:23:57.706,4700,160.00,80.00,0.00,0.00,-2.131,13.990,2074.77
2025-05-04 17:23:57.805,4800,320.00,80.00,0.00,0.00,-1.486,13.994,2074.77
2025-05-04 17:23:57.907,4900,240.00,80.00,0.00,0.00,-1.486,13.994,2074.77
2025-05-04 17:23:58.005,5000,240.00,80.00,0.00,0.00,-1.486,14.034,2070.24
2025-05-04 17:23:58.108,5100,320.00,160.00,0.00,0.00,-1.450,14.034,2070.24
2025-05-04 17:23:58.206,5200,320.00,80.00,0.00,0.00,-1.450,14.034,2090.37
2025-05-04 17:23:58.305,5300,160.00,80.00,0.00,0.00,-1.934,14.068,2090.37
2025-05-04 17:23:58.407,5400,240.00,80.00,0.00,0.00,-1.934,14.068,2090.37
2025-05-04 17:23:58.507,5500,240.00,160.00,0.00,0.00,-1.934,14.103,2073.05
2025-05-04 17:23:58.603,5600,240.00,80.00,0.00,0.00,-1.450,14.103,2073.05
2025-05-04 17:23:58.706,5700,240.00,80.00,0.00,0.00,-1.450,14.103,2073.05
2025-05-04 17:23:58.808,5800,240.00,160.00,0.00,0.00,-1.916,14.078,2086.61
2025-05-04 17:23:58.907,5900,160.00,80.00,0.00,0.00,-1.916,14.078,2086.61
2025-05-04 17:23:59.006,6000,240.00,80.00,0.00,0.00,-1.916,14.114,2094.67
2025-05-04 17:23:59.107,6100,240.00,80.00,0.00,0.00,-1.970,14.114,2094.67
2025-05-04 17:23:59.206,6200,240.00,160.00,0.00,0.00,-1.970,14.114,2094.67
2025-05-04 17:23:59.306,6300,240.00,80.00,0.00,0.00,-1.415,14.122,2075.84
2025-05-04 17:23:59.408,6400,160.00,160.00,0.00,0.00,-1.415,14.122,2075.84
2025-05-04 17:23:59.504,6500,240.00,80.00,0.00,0.00,-1.415,14.165,2087.66
2025-05-04 17:23:59.607,6600,400.00,80.00,0.00,0.00,-1.791,14.165,2087.66
2025-05-04 17:23:59.708,6700,240.00,160.00,0.00,0.00,-1.791,14.165,2087.66
2025-05-04 17:23:59.805,6800,240.00,80.00,0.00,0.00,-1.737,14.162,2096.25
2025-05-04 17:23:59.907,6900,320.00,160.00,0.00,0.00,-1.737,14.162,2096.25
2025-05-04 17:24:00.005,7000,320.00,80.00,0.00,0.00,-1.737,14.156,2099.11
2025-05-04 17:24:00.111,7100,240.00,80.00,0.00,0.00,-1.558,14.156,2099.11
2025-05-04 17:24:00.209,7200,240.00,160.00,0.00,0.00,-1.558,14.156,2099.11
2025-05-04 17:24:00.303,7300,400.00,80.00,0.00,0.00,-1.898,14.154,2092.48
2025-05-04 17:24:00.406,7400,240.00,160.00,0.00,0.00,-1.898,14.154,2092.48
2025-05-04 17:24:00.505,7500,240.00,80.00,0.00,0.00,-1.898,14.180,2106.50
2025-05-04 17:24:00.606,7600,320.00,160.00,0.00,0.00,-1.952,14.180,2106.50
2025-05-04 17:24:00.705,7700,240.00,80.00,0.00,0.00,-1.952,14.180,2106.50
2025-05-04 17:24:00.807,7800,240.00,160.00,0.00,0.00,-1.952,14.192,2090.02
2025-05-04 17:24:00.906,7900,320.00,80.00,0.00,0.00,-1.325,14.192,2090.02
2025-05-04 17:24:01.004,8000,320.00,160.00,0.00,0.00,-1.325,14.175,2090.02
2025-05-04 17:24:01.106,8100,320.00,80.00,0.00,0.00,-2.006,14.175,2104.55
2025-05-04 17:24:01.204,8200,320.00,160.00,0.00,0.00,-2.006,14.175,2104.55
2025-05-04 17:24:01.303,8300,240.00,80.00,0.00,0.00,-2.006,14.164,2100.66
2025-05-04 17:24:01.405,8400,240.00,160.00,0.00,0.00,-1.468,14.164,2100.66
2025-05-04 17:24:01.504,8500,320.00,80.00,0.00,0.00,-1.468,14.197,2100.66
2025-05-04 17:24:01.606,8600,240.00,160.00,0.00,0.00,-1.218,14.197,2105.27
2025-05-04 17:24:01.705,8700,320.00,80.00,0.00,0.00,-1.218,14.197,2105.27
2025-05-04 17:24:01.806,8800,320.00,160.00,0.00,0.00,-1.218,14.208,2106.31
2025-05-04 17:24:01.907,8900,240.00,80.00,0.00,0.00,-1.862,14.208,2106.31
2025-05-04 17:24:02.009,9000,320.00,160.00,0.00,0.00,-1.862,14.194,2106.31
2025-05-04 17:24:02.106,9100,400.00,80.00,0.00,0.00,-1.540,14.194,2104.47
2025-05-04 17:24:02.204,9200,240.00,160.00,0.00,0.00,-1.540,14.194,2104.47
2025-05-04 17:24:02.302,9300,240.00,80.00,0.00,0.00,-1.540,14.187,2109.48
2025-05-04 17:24:02.407,9400,240.00,160.00,0.00,0.00,-1.845,14.187,2109.48
2025-05-04 17:24:02.504,9500,320.00,160.00,0.00,0.00,-1.845,14.184,2109.48
2025-05-04 17:24:02.602,9600,320.00,80.00,0.00,0.00,-1.916,14.184,2105.12
2025-05-04 17:24:02.704,9700,240.00,160.00,0.00,0.00,-1.916,14.184,2105.12
2025-05-04 17:24:02.802,9800,320.00,80.00,0.00,0.00,-1.916,14.196,2108.04
2025-05-04 17:24:02.904,9900,240.00,160.00,0.00,0.00,-1.128,14.196,2108.04
2025-05-04 17:24:03.002,10000,320.00,80.00,0.00,0.00,-1.128,14.186,2108.04
2025-05-04 17:24:03.105,10100,400.00,160.00,0.00,0.00,-1.128,14.186,2112.38
2025-05-04 17:24:03.203,10200,320.00,160.00,0.00,0.00,-1.236,14.186,2112.38
2025-05-04 17:24:03.307,10300,240.00,80.00,0.00,0.00,-1.236,14.200,2105.33
2025-05-04 17:24:03.404,10400,320.00,160.00,0.00,0.00,-1.898,14.200,2105.33
2025-05-04 17:24:03.502,10500,320.00,80.00,0.00,0.00,-1.898,14.210,2105.33
2025-05-04 17:24:03.605,10600,240.00,160.00,0.00,0.00,-1.898,14.210,2107.27
2025-05-04 17:24:03.707,10700,400.00,160.00,0.00,0.00,-1.468,14.207,2107.27
2025-05-04 17:24:03.805,10800,320.00,80.00,0.00,0.00,-1.468,14.207,2107.27
2025-05-04 17:24:03.904,10900,240.00,160.00,0.00,0.00,-1.647,14.207,2097.11
2025-05-04 17:24:04.006,11000,320.00,80.00,0.00,0.00,-1.647,14.207,2097.11
2025-05-04 17:24:04.105,11100,240.00,160.00,0.00,0.00,-1.647,14.207,2111.19
2025-05-04 17:24:04.207,11200,400.00,160.00,0.00,0.00,-1.683,14.187,2111.19
2025-05-04 17:24:04.305,11300,320.00,80.00,0.00,0.00,-1.683,14.187,2111.19
2025-05-04 17:24:04.403,11400,240.00,160.00,0.00,0.00,-1.397,14.187,2110.30
2025-05-04 17:24:04.501,11500,400.00,80.00,0.00,0.00,-1.397,14.206,2110.30
2025-05-04 17:24:04.604,11600,400.00,160.00,0.00,0.00,-1.397,14.206,2109.17
2025-05-04 17:24:04.702,11700,320.00,160.00,0.00,0.00,-1.737,14.206,2109.17
2025-05-04 17:24:04.804,11800,320.00,80.00,0.00,0.00,-1.737,14.206,2109.17
2025-05-04 17:24:04.903,11900,320.00,160.00,0.00,0.00,-1.433,14.206,2103.47
2025-05-04 17:24:05.005,12000,320.00,160.00,0.00,0.00,-1.433,14.229,2103.47
2025-05-04 17:24:05.103,12100,400.00,80.00,0.00,0.00,-1.433,14.229,2102.86
2025-05-04 17:24:05.206,12200,240.00,160.00,0.00,0.00,-1.379,14.208,2102.86
