Pi Timestamp,Arduino Time (ms),Pulse Count (Inlet)
2025-05-04 18:12:14.111,1000,0
2025-05-04 18:12:14.611,1500,0
2025-05-04 18:12:15.110,2000,0
2025-05-04 18:12:15.609,2500,0
2025-05-04 18:12:16.109,3000,0
2025-05-04 18:12:16.609,3500,0
2025-05-04 18:12:17.108,4000,0
2025-05-04 18:12:17.608,4500,0
2025-05-04 18:12:18.108,5000,0
2025-05-04 18:12:18.608,5500,0
2025-05-04 18:12:19.107,6000,0
2025-05-04 18:12:19.607,6500,0
2025-05-04 18:12:20.107,7000,0
2025-05-04 18:12:20.606,7500,0
2025-05-04 18:12:21.106,8000,0
2025-05-04 18:12:21.606,8500,0
2025-05-04 18:12:22.105,9000,0
2025-05-04 18:12:22.605,9500,0
2025-05-04 18:12:23.105,10000,0
2025-05-04 18:12:23.604,10500,0
2025-05-04 18:12:24.104,11000,0
2025-05-04 18:12:24.604,11500,0
2025-05-04 18:12:25.104,12000,0
2025-05-04 18:12:25.603,12500,0
2025-05-04 18:12:26.103,13000,0
2025-05-04 18:12:26.603,13500,0
2025-05-04 18:12:27.102,14000,0
2025-05-04 18:12:27.602,14500,0
2025-05-04 18:12:28.102,15000,0
2025-05-04 18:12:28.602,15500,0
2025-05-04 18:12:29.101,16000,0
2025-05-04 18:12:29.601,16500,0
2025-05-04 18:12:30.101,17000,0
2025-05-04 18:12:30.600,17500,0
2025-05-04 18:12:31.104,18000,0
2025-05-04 18:12:31.600,18500,0
2025-05-04 18:12:32.099,19000,0
2025-05-04 18:12:32.599,19500,0
2025-05-04 18:12:33.103,20000,0
2025-05-04 18:12:33.601,20500,1
2025-05-04 18:12:34.098,21000,2
2025-05-04 18:12:34.602,21500,3
2025-05-04 18:12:35.097,22000,3
2025-05-04 18:12:35.597,22500,3
2025-05-04 18:12:36.097,23000,3
2025-05-04 18:12:36.601,23500,3
2025-05-04 18:12:37.096,24000,4
2025-05-04 18:12:37.596,24500,3
2025-05-04 18:12:38.100,25000,4
2025-05-04 18:12:38.599,25500,3
2025-05-04 18:12:39.095,26000,3
2025-05-04 18:12:39.595,26500,3
2025-05-04 18:12:40.098,27000,2
2025-05-04 18:12:40.598,27500,2
2025-05-04 18:12:41.094,28000,2
2025-05-04 18:12:41.597,28500,1
2025-05-04 18:12:42.097,29000,1
2025-05-04 18:12:42.597,29500,0
2025-05-04 18:12:43.093,30000,0
2025-05-04 18:12:43.596,30500,0
2025-05-04 18:12:44.096,31000,0
2025-05-04 18:12:44.596,31500,0
2025-05-04 18:12:45.091,32000,0
2025-05-04 18:12:45.595,32500,0
2025-05-04 18:12:46.095,33000,0
2025-05-04 18:12:46.594,33500,0
2025-05-04 18:12:47.094,34000,0
2025-05-04 18:12:47.594,34500,0
2025-05-04 18:12:48.093,35000,0
2025-05-04 18:12:48.593,35500,0
2025-05-04 18:12:49.093,36000,0
2025-05-04 18:12:49.592,36500,0
2025-05-04 18:12:50.092,37000,0
2025-05-04 18:12:50.592,37500,0
2025-05-04 18:12:51.092,38000,0
2025-05-04 18:12:51.591,38500,0
2025-05-04 18:12:52.091,39000,0
2025-05-04 18:12:52.591,39500,0
2025-05-04 18:12:53.090,40000,0
2025-05-04 18:12:53.590,40500,0
2025-05-04 18:12:54.090,41000,0
2025-05-04 18:12:54.589,41500,0
2025-05-04 18:12:55.089,42000,0
2025-05-04 18:12:55.589,42500,0
2025-05-04 18:12:56.089,43000,0
2025-05-04 18:12:56.588,43500,0
2025-05-04 18:12:57.088,44000,0
2025-05-04 18:12:57.588,44500,0
2025-05-04 18:12:58.087,45000,0
2025-05-04 18:12:58.587,45500,0
2025-05-04 18:12:59.087,46000,0
2025-05-04 18:12:59.586,46500,0
2025-05-04 18:13:00.086,47000,0
2025-05-04 18:13:00.586,47500,0
2025-05-04 18:13:01.085,48000,0
2025-05-04 18:13:01.585,48500,0
2025-05-04 18:13:02.085,49000,0
2025-05-04 18:13:02.585,49500,0
2025-05-04 18:13:03.084,50000,0
2025-05-04 18:13:03.584,50500,0
2025-05-04 18:13:04.084,51000,0
2025-05-04 18:13:04.583,51500,0
2025-05-04 18:13:05.083,52000,0
2025-05-04 18:13:05.583,52500,0
2025-05-04 18:13:06.082,53000,0
2025-05-04 18:13:06.582,53500,0
2025-05-04 18:13:07.082,54000,0
2025-05-04 18:13:07.581,54500,0
2025-05-04 18:13:08.081,55000,0
2025-05-04 18:13:08.581,55500,0
2025-05-04 18:13:09.080,56000,0
2025-05-04 18:13:09.580,56500,0
2025-05-04 18:13:10.080,57000,0
2025-05-04 18:13:10.580,57500,0
2025-05-04 18:13:11.079,58000,0
2025-05-04 18:13:11.579,58500,0
2025-05-04 18:13:12.079,59000,0
2025-05-04 18:13:12.578,59500,0
2025-05-04 18:13:13.078,60000,0
2025-05-04 18:13:13.578,60500,0
2025-05-04 18:13:14.077,61000,0
2025-05-04 18:13:14.577,61500,0
2025-05-04 18:13:15.077,62000,0
2025-05-04 18:13:15.576,62500,0
