Pi Timestamp,Arduino Time (ms),Inlet Flow (L/min),Outlet Flow (L/min),Inlet Pressure (PSI),Outlet Pressure (PSI),Motor Current (A),Motor Voltage (V),Motor RPM
2025-05-05 03:34:00.059,63800,0.00,0.00,0.00,0.00,-0.913,4.291,651.18
2025-05-05 03:34:00.060,63900,0.00,0.00,0.00,0.00,-0.913,4.291,651.18
2025-05-05 03:34:00.061,64000,0.00,0.00,0.00,0.00,-0.913,4.291,651.18
2025-05-05 03:34:00.061,64100,0.00,0.00,0.00,0.00,-0.913,4.291,651.18
2025-05-05 03:34:00.062,100,0.00,11.94,0.00,0.00,-0.913,4.291,651.18
2025-05-05 03:34:00.063,200,0.00,11.94,0.00,0.00,-0.913,4.291,651.18
2025-05-05 03:34:00.063,300,0.00,23.88,0.00,0.00,-0.913,4.291,651.18
2025-05-05 03:34:00.064,400,11.94,23.88,0.00,0.00,-0.913,4.291,651.18
2025-05-05 03:34:00.097,500,11.94,11.94,0.00,0.00,-0.913,4.322,651.18
2025-05-05 03:34:00.196,600,11.94,11.94,0.00,0.00,-0.913,4.322,651.18
2025-05-05 03:34:00.298,700,23.88,23.88,0.00,0.00,-0.913,4.322,639.50
2025-05-05 03:34:00.396,800,11.94,11.94,0.00,0.00,-1.576,3.968,639.50
2025-05-05 03:34:00.498,900,11.94,11.94,0.00,0.00,-1.576,3.968,639.50
2025-05-05 03:34:00.597,1000,23.88,23.88,0.00,0.00,-0.627,4.174,627.84
2025-05-05 03:34:00.699,1100,11.94,11.94,0.00,0.00,-0.627,4.174,627.84
2025-05-05 03:34:00.797,1200,11.94,11.94,0.00,0.00,-0.627,4.174,609.95
2025-05-05 03:34:00.896,1300,23.88,23.88,0.00,0.00,-4.191,3.660,609.95
2025-05-05 03:34:00.998,1400,11.94,11.94,0.00,0.00,-4.191,3.660,609.95
2025-05-05 03:34:01.097,1500,23.88,11.94,0.00,0.00,-2.525,4.001,604.53
2025-05-05 03:34:01.202,1600,11.94,23.88,0.00,0.00,-2.525,4.001,604.53
2025-05-05 03:34:01.298,1700,11.94,11.94,0.00,0.00,-2.525,4.001,604.84
2025-05-05 03:34:01.396,1800,23.88,11.94,0.00,0.00,-3.223,3.880,604.84
2025-05-05 03:34:01.499,1900,11.94,23.88,0.00,0.00,-3.223,3.880,604.84
2025-05-05 03:34:01.597,2000,23.88,11.94,0.00,0.00,-3.188,3.970,608.98
2025-05-05 03:34:01.698,2100,11.94,23.88,0.00,0.00,-3.188,3.970,608.98
2025-05-05 03:34:01.797,2200,11.94,11.94,0.00,0.00,-3.188,3.970,596.66
2025-05-05 03:34:01.899,2300,23.88,11.94,0.00,0.00,-3.044,3.870,596.66
2025-05-05 03:34:01.998,2400,11.94,23.88,0.00,0.00,-3.044,3.870,596.66
2025-05-05 03:34:02.096,2500,11.94,23.88,0.00,0.00,-3.438,3.981,610.24
2025-05-05 03:34:02.199,2600,23.88,11.94,0.00,0.00,-3.438,3.981,610.24
2025-05-05 03:34:02.297,2700,11.94,11.94,0.00,0.00,-3.438,3.981,609.56
2025-05-05 03:34:02.399,2800,11.94,23.88,0.00,0.00,-3.152,3.880,609.56
2025-05-05 03:34:02.497,2900,23.88,11.94,0.00,0.00,-3.152,3.880,609.56
2025-05-05 03:34:02.595,3000,11.94,11.94,0.00,0.00,-3.152,3.839,603.79
2025-05-05 03:34:02.698,3100,11.94,23.88,0.00,0.00,-3.152,3.839,603.79
2025-05-05 03:34:02.796,3200,23.88,11.94,0.00,0.00,-3.152,3.839,607.41
2025-05-05 03:34:02.894,3300,11.94,11.94,0.00,0.00,-1.845,3.776,607.41
2025-05-05 03:34:02.997,3400,11.94,23.88,0.00,0.00,-1.845,3.776,607.41
2025-05-05 03:34:03.095,3500,23.88,11.94,0.00,0.00,-1.845,3.958,609.44
2025-05-05 03:34:03.197,3600,11.94,11.94,0.00,0.00,-2.203,3.958,609.44
2025-05-05 03:34:03.296,3700,11.94,23.88,0.00,0.00,-2.203,3.958,609.44
2025-05-05 03:34:03.394,3800,23.88,11.94,0.00,0.00,-0.466,3.814,615.51
2025-05-05 03:34:03.496,3900,11.94,11.94,0.00,0.00,-0.466,3.814,615.51
2025-05-05 03:34:03.595,4000,11.94,23.88,0.00,0.00,-0.466,4.027,604.06
2025-05-05 03:34:03.697,4100,11.94,11.94,0.00,0.00,-0.627,4.027,604.06
2025-05-05 03:34:03.795,4200,23.88,11.94,0.00,0.00,-0.627,4.027,604.06
2025-05-05 03:34:03.898,4300,11.94,23.88,0.00,0.00,-2.776,3.837,612.81
2025-05-05 03:34:03.996,4400,11.94,11.94,0.00,0.00,-2.776,3.837,612.81
2025-05-05 03:34:04.094,4500,11.94,11.94,0.00,0.00,-2.776,4.021,602.67
2025-05-05 03:34:04.197,4600,23.88,23.88,0.00,0.00,-2.453,4.021,602.67
2025-05-05 03:34:04.295,4700,11.94,11.94,0.00,0.00,-2.453,4.021,602.67
2025-05-05 03:34:04.397,4800,11.94,23.88,0.00,0.00,-2.883,3.862,607.50
2025-05-05 03:34:04.496,4900,11.94,11.94,0.00,0.00,-2.883,3.862,607.50
2025-05-05 03:34:04.594,5000,11.94,23.88,0.00,0.00,-2.883,3.867,611.50
2025-05-05 03:34:04.696,5100,23.88,35.82,0.00,0.00,-2.776,3.867,611.50
2025-05-05 03:34:04.795,5200,11.94,11.94,0.00,0.00,-2.776,3.867,611.50
2025-05-05 03:34:04.893,5300,11.94,23.88,0.00,0.00,-2.776,3.854,613.77
2025-05-05 03:34:04.996,5400,11.94,11.94,0.00,0.00,-0.663,3.854,613.77
2025-05-05 03:34:05.094,5500,23.88,11.94,0.00,0.00,-0.663,3.847,613.77
2025-05-05 03:34:05.196,5600,11.94,11.94,0.00,0.00,-0.663,3.847,604.31
2025-05-05 03:34:05.294,5700,11.94,23.88,0.00,0.00,-0.663,3.847,604.31
2025-05-05 03:34:05.397,5800,11.94,11.94,0.00,0.00,-0.663,3.782,605.78
2025-05-05 03:34:05.495,5900,23.88,11.94,0.00,0.00,-0.734,3.782,605.78
2025-05-05 03:34:05.593,6000,11.94,11.94,0.00,0.00,-0.734,4.147,605.78
2025-05-05 03:34:05.696,6100,11.94,23.88,0.00,0.00,-2.740,4.147,606.63
2025-05-05 03:34:05.794,6200,11.94,11.94,0.00,0.00,-2.740,4.147,606.63
2025-05-05 03:34:05.897,6300,23.88,23.88,0.00,0.00,-2.740,3.864,607.88
2025-05-05 03:34:05.995,6400,11.94,23.88,0.00,0.00,-1.200,3.864,607.88
2025-05-05 03:34:06.093,6500,11.94,11.94,0.00,0.00,-1.200,4.008,607.88
2025-05-05 03:34:06.196,6600,11.94,11.94,0.00,0.00,-0.698,4.008,613.79
2025-05-05 03:34:06.294,6700,11.94,23.88,0.00,0.00,-0.698,4.008,613.79
2025-05-05 03:34:06.396,6800,23.88,11.94,0.00,0.00,-0.698,3.912,606.15
2025-05-05 03:34:06.495,6900,11.94,11.94,0.00,0.00,-1.809,3.912,606.15
2025-05-05 03:34:06.593,7000,11.94,23.88,0.00,0.00,-1.809,3.886,606.15
2025-05-05 03:34:06.695,7100,11.94,23.88,0.00,0.00,-2.973,3.886,610.03
2025-05-05 03:34:06.794,7200,23.88,11.94,0.00,0.00,-2.973,3.886,610.03
2025-05-05 03:34:06.892,7300,11.94,23.88,0.00,0.00,-2.973,4.035,610.94
2025-05-05 03:34:06.994,7400,11.94,11.94,0.00,0.00,-0.680,4.035,610.94
2025-05-05 03:34:07.093,7500,11.94,11.94,0.00,0.00,-0.680,3.922,610.94
2025-05-05 03:34:07.195,7600,23.88,11.94,0.00,0.00,-3.474,3.922,638.44
2025-05-05 03:34:07.293,7700,11.94,23.88,0.00,0.00,-3.474,3.922,638.44
2025-05-05 03:34:07.396,7800,11.94,11.94,0.00,0.00,-3.474,3.754,584.28
2025-05-05 03:34:07.494,7900,11.94,23.88,0.00,0.00,-1.128,3.754,584.28
2025-05-05 03:34:07.592,8000,23.88,23.88,0.00,0.00,-1.128,3.880,584.28
2025-05-05 03:34:07.695,8100,11.94,11.94,0.00,0.00,-1.128,3.880,610.75
2025-05-05 03:34:07.793,8200,11.94,11.94,0.00,0.00,-0.663,3.880,610.75
2025-05-05 03:34:07.895,8300,11.94,11.94,0.00,0.00,-0.663,4.237,613.26
2025-05-05 03:34:07.994,8400,11.94,23.88,0.00,0.00,-0.358,4.237,613.26
2025-05-05 03:34:08.092,8500,23.88,11.94,0.00,0.00,-0.358,3.888,613.26
2025-05-05 03:34:08.194,8600,11.94,11.94,0.00,0.00,-0.358,3.888,625.19
2025-05-05 03:34:08.293,8700,11.94,11.94,0.00,0.00,-2.507,3.888,625.19
2025-05-05 03:34:08.395,8800,11.94,23.88,0.00,0.00,-2.507,3.886,625.19
2025-05-05 03:34:08.494,8900,23.88,23.88,0.00,0.00,-2.167,3.886,587.61
2025-05-05 03:34:08.592,9000,11.94,11.94,0.00,0.00,-2.167,4.005,587.61
2025-05-05 03:34:08.694,9100,11.94,23.88,0.00,0.00,-2.167,4.005,609.85
2025-05-05 03:34:08.792,9200,11.94,23.88,0.00,0.00,-1.128,4.005,609.85
2025-05-05 03:34:08.895,9300,23.88,11.94,0.00,0.00,-1.128,3.684,609.85
2025-05-05 03:34:08.993,9400,11.94,11.94,0.00,0.00,-1.164,3.684,609.72
2025-05-05 03:34:09.091,9500,11.94,11.94,0.00,0.00,-1.164,4.010,609.72
2025-05-05 03:34:09.194,9600,11.94,23.88,0.00,0.00,-1.164,4.010,607.52
2025-05-05 03:34:09.292,9700,11.94,11.94,0.00,0.00,-1.003,4.010,607.52
