Pi Timestamp,Arduino Time (ms),Inlet Flow (L/min),Outlet Flow (L/min),Inlet Pressure (PSI),Outlet Pressure (PSI)
2025-05-03 22:58:18.830,188200,0.00,0.00,0.00,0.00
2025-05-03 22:58:18.832,188300,0.00,0.00,0.00,0.00
2025-05-03 22:58:18.838,188400,0.00,0.00,0.00,0.00
2025-05-03 22:58:18.848,200,0.00,0.00,0.00,0.00
2025-05-03 22:58:18.851,300,0.00,0.00,0.00,0.00
2025-05-03 22:58:18.853,400,0.00,0.00,0.00,0.00
2025-05-03 22:58:18.855,500,0.00,0.00,0.00,0.00
2025-05-03 22:58:18.924,600,0.00,0.00,0.00,0.00
2025-05-03 22:58:19.028,700,0.00,0.00,0.00,0.00
2025-05-03 22:58:19.125,800,0.00,0.00,0.00,0.00
2025-05-03 22:58:19.228,900,0.00,0.00,0.00,0.00
2025-05-03 22:58:19.329,1000,0.00,0.00,0.00,0.00
2025-05-03 22:58:19.430,1100,0.00,0.00,0.00,0.00
2025-05-03 22:58:19.532,1200,0.00,0.00,0.00,0.00
2025-05-03 22:58:19.625,1300,0.00,0.00,0.00,0.00
2025-05-03 22:58:19.731,1400,0.00,0.00,0.00,0.00
2025-05-03 22:58:19.826,1500,0.00,0.00,0.00,0.00
2025-05-03 22:58:19.929,1600,0.00,0.00,0.00,0.00
2025-05-03 22:58:20.034,1700,0.00,0.00,0.00,0.00
2025-05-03 22:58:20.125,1800,0.00,0.00,0.00,0.00
2025-05-03 22:58:20.228,1900,0.00,0.00,0.00,0.00
2025-05-03 22:58:20.326,2000,0.00,0.00,0.00,0.00
2025-05-03 22:58:20.428,2100,0.00,0.00,0.00,0.00
2025-05-03 22:58:20.530,2200,0.00,0.00,0.00,0.00
2025-05-03 22:58:20.629,2300,0.00,0.00,0.00,0.00
2025-05-03 22:58:20.729,2400,0.00,0.00,0.00,0.00
2025-05-03 22:58:20.832,2500,0.00,0.00,0.00,0.00
2025-05-03 22:58:20.928,2600,0.00,0.00,0.00,0.00
2025-05-03 22:58:21.032,2700,0.00,0.00,0.00,0.00
2025-05-03 22:58:21.126,2800,0.00,0.00,0.00,0.00
2025-05-03 22:58:21.234,2900,0.00,0.00,0.00,0.00
2025-05-03 22:58:21.324,3000,0.00,0.00,0.00,0.00
2025-05-03 22:58:21.431,3100,0.00,0.00,0.00,0.00
2025-05-03 22:58:21.526,3200,0.00,0.00,0.00,0.00
2025-05-03 22:58:21.625,3300,0.00,0.00,0.00,0.00
2025-05-03 22:58:21.727,3400,0.00,0.00,0.00,0.00
2025-05-03 22:58:21.828,3500,0.00,0.00,0.00,0.00
2025-05-03 22:58:21.927,3600,0.00,0.00,0.00,0.00
2025-05-03 22:58:22.025,3700,0.00,0.00,0.00,0.00
2025-05-03 22:58:22.123,3800,0.00,0.00,0.00,0.00
2025-05-03 22:58:22.229,3900,0.00,0.00,0.00,0.00
2025-05-03 22:58:22.324,4000,0.00,0.00,0.00,0.00
2025-05-03 22:58:22.432,4100,0.00,0.00,0.00,0.00
2025-05-03 22:58:22.526,4200,0.00,0.00,0.00,0.00
2025-05-03 22:58:22.629,4300,0.00,0.00,0.00,0.00
2025-05-03 22:58:22.725,4400,0.00,0.00,0.00,0.00
2025-05-03 22:58:22.824,4500,0.00,0.00,0.00,0.00
2025-05-03 22:58:22.927,4600,0.00,0.00,0.00,0.00
2025-05-03 22:58:23.026,4700,0.00,0.00,0.00,0.00
2025-05-03 22:58:23.126,4800,0.00,0.00,0.00,0.00
2025-05-03 22:58:23.228,4900,0.00,0.00,0.00,0.00
2025-05-03 22:58:23.324,5000,0.00,0.00,0.00,0.00
2025-05-03 22:58:23.425,5100,0.00,0.00,0.00,0.00
2025-05-03 22:58:23.528,5200,0.00,0.00,0.00,0.00
2025-05-03 22:58:23.629,5300,0.00,0.00,0.00,0.00
2025-05-03 22:58:23.726,5400,0.00,0.00,0.00,0.00
2025-05-03 22:58:23.824,5500,0.00,0.00,0.00,0.00
2025-05-03 22:58:23.925,5600,0.00,0.00,0.00,0.00
2025-05-03 22:58:24.024,5700,0.00,0.00,0.00,0.00
2025-05-03 22:58:24.128,5800,0.00,0.00,0.00,0.00
2025-05-03 22:58:24.227,5900,0.00,0.00,0.00,0.00
2025-05-03 22:58:24.322,6000,0.00,0.00,0.00,0.00
2025-05-03 22:58:24.426,6100,0.00,0.00,0.00,0.00
2025-05-03 22:58:24.527,6200,0.00,0.00,0.00,0.00
2025-05-03 22:58:24.628,6300,0.00,0.00,0.00,0.00
2025-05-03 22:58:24.725,6400,0.00,0.00,0.00,0.00
2025-05-03 22:58:24.832,6500,0.00,0.00,0.00,0.00
2025-05-03 22:58:24.924,6600,0.00,0.00,0.00,0.00
2025-05-03 22:58:25.024,6700,0.00,0.00,0.00,0.00
2025-05-03 22:58:25.123,6800,0.00,0.00,0.00,0.00
2025-05-03 22:58:25.228,6900,0.00,0.00,0.00,0.00
2025-05-03 22:58:25.329,7000,0.00,0.00,0.00,0.00
2025-05-03 22:58:25.425,7100,0.00,0.00,0.00,0.00
2025-05-03 22:58:25.526,7200,0.00,0.00,0.00,0.00
2025-05-03 22:58:25.625,7300,0.00,0.00,0.00,0.00
2025-05-03 22:58:25.728,7400,0.00,0.00,0.00,0.00
2025-05-03 22:58:25.825,7500,0.00,0.00,0.00,0.00
2025-05-03 22:58:25.925,7600,0.00,0.00,0.00,0.00
2025-05-03 22:58:26.025,7700,0.00,0.00,0.00,0.00
2025-05-03 22:58:26.126,7800,0.00,0.00,0.00,0.00
2025-05-03 22:58:26.224,7900,0.00,0.00,0.00,0.00
2025-05-03 22:58:26.321,8000,0.00,0.00,0.00,0.00
2025-05-03 22:58:26.425,8100,0.00,0.00,0.00,0.00
2025-05-03 22:58:26.523,8200,0.00,0.00,0.00,0.00
2025-05-03 22:58:26.627,8300,0.00,0.00,0.00,0.00
2025-05-03 22:58:26.725,8400,0.00,0.00,0.00,0.00
2025-05-03 22:58:26.836,8500,0.00,0.00,0.00,0.00
2025-05-03 22:58:26.924,8600,0.00,0.00,0.00,0.00
2025-05-03 22:58:27.024,8700,0.00,0.00,0.00,0.00
2025-05-03 22:58:27.127,8800,0.00,0.00,0.00,0.00
2025-05-03 22:58:27.223,8900,0.00,0.00,0.00,0.00
2025-05-03 22:58:27.324,9000,0.00,0.00,0.00,0.00
2025-05-03 22:58:27.424,9100,0.00,0.00,0.00,0.00
2025-05-03 22:58:27.522,9200,0.00,0.00,0.00,0.00
2025-05-03 22:58:27.631,9300,0.00,0.00,0.00,0.00
2025-05-03 22:58:27.722,9400,0.00,0.00,0.00,0.00
2025-05-03 22:58:27.824,9500,0.00,0.00,0.00,0.00
2025-05-03 22:58:27.924,9600,0.00,0.00,0.00,0.00
2025-05-03 22:58:28.021,9700,0.00,0.00,0.00,0.00
2025-05-03 22:58:28.124,9800,0.00,0.00,0.00,0.00
2025-05-03 22:58:28.222,9900,0.00,0.00,0.00,0.00
2025-05-03 22:58:28.329,10000,0.00,0.00,0.00,0.00
2025-05-03 22:58:28.422,10100,0.00,0.00,0.00,0.00
2025-05-03 22:58:28.521,10200,0.00,0.00,0.00,0.00
2025-05-03 22:58:28.625,10300,0.00,0.00,0.00,0.00
2025-05-03 22:58:28.722,10400,0.00,0.00,0.00,0.00
2025-05-03 22:58:28.820,10500,0.00,0.00,0.00,0.00
2025-05-03 22:58:28.924,10600,0.00,0.00,0.00,0.00
2025-05-03 22:58:29.023,10700,0.00,0.00,0.00,0.00
