Pi Timestamp,Arduino Time (ms),Inlet Flow (L/min),Outlet Flow (L/min),Inlet Pressure (PSI),Outlet Pressure (PSI)
2025-05-03 23:10:06.080,21600,0.00,0.00,0.00,0.00
2025-05-03 23:10:06.083,21700,0.00,0.00,0.00,0.00
2025-05-03 23:10:06.086,21800,0.00,0.00,0.00,0.00
2025-05-03 23:10:06.090,100,0.00,0.00,0.00,0.00
2025-05-03 23:10:06.093,200,0.00,0.00,0.00,0.00
2025-05-03 23:10:06.095,300,0.00,0.00,0.00,0.00
2025-05-03 23:10:06.099,400,0.00,0.00,0.00,0.00
2025-05-03 23:10:06.113,500,0.00,0.00,0.00,0.00
2025-05-03 23:10:06.211,600,0.00,0.00,0.00,0.00
2025-05-03 23:10:06.311,700,0.00,0.00,0.00,0.00
2025-05-03 23:10:06.411,800,0.00,0.00,0.00,0.00
2025-05-03 23:10:06.519,900,0.00,0.00,0.00,0.00
2025-05-03 23:10:06.613,1000,0.00,0.00,0.00,0.00
2025-05-03 23:10:06.713,1100,0.00,0.00,0.00,0.00
2025-05-03 23:10:06.813,1200,0.00,0.00,0.00,0.00
2025-05-03 23:10:06.911,1300,0.00,0.00,0.00,0.00
2025-05-03 23:10:07.011,1400,0.00,0.00,0.00,0.00
2025-05-03 23:10:07.113,1500,0.00,0.00,0.00,0.00
2025-05-03 23:10:07.212,1600,0.00,0.00,0.00,0.00
2025-05-03 23:10:07.313,1700,0.00,0.00,0.00,0.00
2025-05-03 23:10:07.411,1800,0.00,0.00,0.00,0.00
2025-05-03 23:10:07.510,1900,0.00,0.00,0.00,0.00
2025-05-03 23:10:07.613,2000,0.00,0.00,0.00,0.00
2025-05-03 23:10:07.711,2100,80.00,0.00,0.00,0.00
2025-05-03 23:10:07.813,2200,0.00,0.00,0.00,0.00
2025-05-03 23:10:07.911,2300,0.00,0.00,0.00,0.00
2025-05-03 23:10:08.013,2400,0.00,0.00,0.00,0.00
2025-05-03 23:10:08.116,2500,80.00,0.00,0.00,0.00
2025-05-03 23:10:08.210,2600,0.00,0.00,0.00,0.00
2025-05-03 23:10:08.313,2700,0.00,80.00,0.00,0.00
2025-05-03 23:10:08.415,2800,80.00,0.00,0.00,0.00
2025-05-03 23:10:08.513,2900,0.00,0.00,0.00,0.00
2025-05-03 23:10:08.615,3000,80.00,0.00,0.00,0.00
2025-05-03 23:10:08.710,3100,0.00,0.00,0.00,0.00
2025-05-03 23:10:08.814,3200,80.00,0.00,0.00,0.00
2025-05-03 23:10:08.916,3300,0.00,0.00,0.00,0.00
2025-05-03 23:10:09.015,3400,80.00,80.00,0.00,0.00
2025-05-03 23:10:09.117,3500,0.00,0.00,0.00,0.00
2025-05-03 23:10:09.209,3600,80.00,0.00,0.00,0.00
2025-05-03 23:10:09.312,3700,0.00,0.00,0.00,0.00
2025-05-03 23:10:09.415,3800,80.00,0.00,0.00,0.00
2025-05-03 23:10:09.512,3900,0.00,0.00,0.00,0.00
2025-05-03 23:10:09.611,4000,80.00,0.00,0.00,0.00
2025-05-03 23:10:09.714,4100,80.00,0.00,0.00,0.00
2025-05-03 23:10:09.811,4200,0.00,0.00,0.00,0.00
2025-05-03 23:10:09.909,4300,80.00,0.00,0.00,0.00
2025-05-03 23:10:10.012,4400,80.00,80.00,0.00,0.00
2025-05-03 23:10:10.110,4500,0.00,0.00,0.00,0.00
2025-05-03 23:10:10.214,4600,80.00,0.00,0.00,0.00
2025-05-03 23:10:10.312,4700,80.00,0.00,0.00,0.00
2025-05-03 23:10:10.414,4800,0.00,0.00,0.00,0.00
2025-05-03 23:10:10.514,4900,80.00,0.00,0.00,0.00
2025-05-03 23:10:10.619,5000,80.00,0.00,0.00,0.00
2025-05-03 23:10:10.716,5100,80.00,0.00,0.00,0.00
2025-05-03 23:10:10.814,5200,0.00,0.00,0.00,0.00
2025-05-03 23:10:10.914,5300,80.00,0.00,0.00,0.00
2025-05-03 23:10:11.013,5400,80.00,0.00,0.00,0.00
2025-05-03 23:10:11.110,5500,80.00,0.00,0.00,0.00
2025-05-03 23:10:11.216,5600,80.00,0.00,0.00,0.00
2025-05-03 23:10:11.310,5700,0.00,0.00,0.00,0.00
2025-05-03 23:10:11.409,5800,80.00,0.00,0.00,0.00
2025-05-03 23:10:11.512,5900,80.00,0.00,0.00,0.00
2025-05-03 23:10:11.610,6000,80.00,0.00,0.00,0.00
2025-05-03 23:10:11.717,6100,80.00,0.00,0.00,0.00
2025-05-03 23:10:11.814,6200,80.00,0.00,0.00,0.00
2025-05-03 23:10:11.911,6300,0.00,0.00,0.00,0.00
2025-05-03 23:10:12.010,6400,80.00,0.00,0.00,0.00
2025-05-03 23:10:12.111,6500,80.00,0.00,0.00,0.00
2025-05-03 23:10:12.214,6600,80.00,80.00,0.00,0.00
2025-05-03 23:10:12.311,6700,80.00,0.00,0.00,0.00
2025-05-03 23:10:12.409,6800,80.00,0.00,0.00,0.00
2025-05-03 23:10:12.511,6900,80.00,0.00,0.00,0.00
2025-05-03 23:10:12.613,7000,80.00,0.00,0.00,0.00
2025-05-03 23:10:12.713,7100,80.00,0.00,0.00,0.00
2025-05-03 23:10:12.811,7200,80.00,0.00,0.00,0.00
2025-05-03 23:10:12.913,7300,0.00,0.00,0.00,0.00
2025-05-03 23:10:13.012,7400,80.00,0.00,0.00,0.00
2025-05-03 23:10:13.109,7500,80.00,0.00,0.00,0.00
2025-05-03 23:10:13.207,7600,80.00,0.00,0.00,0.00
2025-05-03 23:10:13.311,7700,80.00,0.00,0.00,0.00
2025-05-03 23:10:13.411,7800,80.00,80.00,0.00,0.00
2025-05-03 23:10:13.511,7900,80.00,0.00,0.00,0.00
2025-05-03 23:10:13.613,8000,80.00,0.00,0.00,0.00
2025-05-03 23:10:13.713,8100,80.00,0.00,0.00,0.00
2025-05-03 23:10:13.809,8200,80.00,0.00,0.00,0.00
2025-05-03 23:10:13.907,8300,80.00,0.00,0.00,0.00
2025-05-03 23:10:14.018,8400,80.00,0.00,0.00,0.00
2025-05-03 23:10:14.109,8500,80.00,0.00,0.00,0.00
2025-05-03 23:10:14.214,8600,80.00,0.00,0.00,0.00
2025-05-03 23:10:14.309,8700,80.00,0.00,0.00,0.00
2025-05-03 23:10:14.407,8800,80.00,0.00,0.00,0.00
2025-05-03 23:10:14.512,8900,80.00,80.00,0.00,0.00
2025-05-03 23:10:14.608,9000,80.00,0.00,0.00,0.00
2025-05-03 23:10:14.714,9100,80.00,0.00,0.00,0.00
2025-05-03 23:10:14.811,9200,80.00,0.00,0.00,0.00
2025-05-03 23:10:14.910,9300,80.00,0.00,0.00,0.00
2025-05-03 23:10:15.014,9400,80.00,0.00,0.00,0.00
2025-05-03 23:10:15.110,9500,80.00,0.00,0.00,0.00
2025-05-03 23:10:15.209,9600,80.00,80.00,0.00,0.00
2025-05-03 23:10:15.312,9700,80.00,0.00,0.00,0.00
2025-05-03 23:10:15.407,9800,80.00,0.00,0.00,0.00
2025-05-03 23:10:15.509,9900,80.00,0.00,0.00,0.00
2025-05-03 23:10:15.608,10000,80.00,0.00,0.00,0.00
2025-05-03 23:10:15.709,10100,80.00,80.00,0.00,0.00
2025-05-03 23:10:15.812,10200,80.00,0.00,0.00,0.00
2025-05-03 23:10:15.910,10300,80.00,160.00,0.00,0.00
2025-05-03 23:10:16.010,10400,80.00,0.00,0.00,0.00
2025-05-03 23:10:16.108,10500,80.00,0.00,0.00,0.00
2025-05-03 23:10:16.211,10600,80.00,80.00,0.00,0.00
2025-05-03 23:10:16.308,10700,80.00,0.00,0.00,0.00
2025-05-03 23:10:16.415,10800,80.00,0.00,0.00,0.00
2025-05-03 23:10:16.522,10900,80.00,0.00,0.00,0.00
