Pi Timestamp,Arduino Time (ms),Inlet Flow (L/min),Outlet Flow (L/min),Inlet Pressure (PSI),Outlet Pressure (PSI),Motor Current (A),Motor Voltage (V),Motor RPM
2025-05-05 03:31:46.965,53300,0.00,0.00,0.00,0.00,-1.325,3.557,456.35
2025-05-05 03:31:46.966,53400,0.00,0.00,0.00,0.00,-1.325,3.557,456.35
2025-05-05 03:31:46.967,53500,0.00,0.00,0.00,0.00,-1.325,3.557,456.35
2025-05-05 03:31:46.967,53600,0.00,0.00,0.00,0.00,-1.325,3.557,456.35
2025-05-05 03:31:46.969,200,0.00,0.00,0.00,0.00,-1.325,3.557,456.35
2025-05-05 03:31:46.970,300,11.94,11.94,0.00,0.00,-1.325,3.557,456.35
2025-05-05 03:31:46.971,400,0.00,0.00,0.00,0.00,-1.325,3.557,456.35
2025-05-05 03:31:47.003,500,11.94,11.94,0.00,0.00,-1.325,3.557,456.35
2025-05-05 03:31:47.101,600,0.00,11.94,0.00,0.00,-1.325,3.550,456.35
2025-05-05 03:31:47.199,700,11.94,0.00,0.00,0.00,-1.701,3.550,455.29
2025-05-05 03:31:47.302,800,11.94,11.94,0.00,0.00,-1.701,3.572,455.29
2025-05-05 03:31:47.400,900,11.94,11.94,0.00,0.00,-1.701,3.572,457.92
2025-05-05 03:31:47.502,1000,0.00,11.94,0.00,0.00,-1.361,3.572,457.92
2025-05-05 03:31:47.601,1100,11.94,11.94,0.00,0.00,-1.361,3.560,457.92
2025-05-05 03:31:47.703,1200,11.94,11.94,0.00,0.00,-1.791,3.560,446.70
2025-05-05 03:31:47.802,1300,11.94,11.94,0.00,0.00,-1.791,3.558,446.70
2025-05-05 03:31:47.904,1400,11.94,11.94,0.00,0.00,-1.791,3.558,449.81
2025-05-05 03:31:48.002,1500,11.94,11.94,0.00,0.00,-1.307,3.558,449.81
2025-05-05 03:31:48.101,1600,11.94,23.88,0.00,0.00,-1.307,3.544,449.81
2025-05-05 03:31:48.203,1700,11.94,11.94,0.00,0.00,-1.719,3.544,457.34
2025-05-05 03:31:48.301,1800,11.94,11.94,0.00,0.00,-1.719,3.555,457.34
2025-05-05 03:31:48.403,1900,11.94,11.94,0.00,0.00,-1.719,3.555,443.43
2025-05-05 03:31:48.502,2000,11.94,11.94,0.00,0.00,-1.397,3.555,443.43
2025-05-05 03:31:48.600,2100,11.94,11.94,0.00,0.00,-1.397,3.553,443.43
2025-05-05 03:31:48.703,2200,11.94,11.94,0.00,0.00,-1.630,3.553,450.78
2025-05-05 03:31:48.802,2300,11.94,11.94,0.00,0.00,-1.630,3.550,450.78
2025-05-05 03:31:48.903,2400,11.94,11.94,0.00,0.00,-1.630,3.550,448.57
2025-05-05 03:31:49.002,2500,11.94,11.94,0.00,0.00,-1.289,3.550,448.57
2025-05-05 03:31:49.104,2600,11.94,11.94,0.00,0.00,-1.289,3.542,449.35
2025-05-05 03:31:49.203,2700,11.94,11.94,0.00,0.00,-1.612,3.542,449.35
2025-05-05 03:31:49.301,2800,11.94,11.94,0.00,0.00,-1.612,3.558,449.35
2025-05-05 03:31:49.403,2900,11.94,11.94,0.00,0.00,-1.612,3.558,451.92
2025-05-05 03:31:49.501,3000,11.94,11.94,0.00,0.00,-1.540,3.558,451.92
2025-05-05 03:31:49.599,3100,23.88,11.94,0.00,0.00,-1.540,3.558,451.92
2025-05-05 03:31:49.702,3200,11.94,11.94,0.00,0.00,-1.701,3.558,457.35
2025-05-05 03:31:49.800,3300,11.94,11.94,0.00,0.00,-1.701,3.552,457.35
2025-05-05 03:31:49.902,3400,11.94,11.94,0.00,0.00,-1.701,3.552,444.24
2025-05-05 03:31:50.001,3500,11.94,11.94,0.00,0.00,-1.075,3.552,444.24
2025-05-05 03:31:50.099,3600,11.94,11.94,0.00,0.00,-1.075,3.537,444.24
2025-05-05 03:31:50.201,3700,11.94,11.94,0.00,0.00,-1.468,3.537,446.54
2025-05-05 03:31:50.301,3800,11.94,11.94,0.00,0.00,-1.468,3.559,446.54
2025-05-05 03:31:50.402,3900,11.94,23.88,0.00,0.00,-1.468,3.559,449.50
2025-05-05 03:31:50.500,4000,11.94,11.94,0.00,0.00,-1.236,3.559,449.50
2025-05-05 03:31:50.599,4100,11.94,11.94,0.00,0.00,-1.236,3.558,449.50
2025-05-05 03:31:50.701,4200,11.94,11.94,0.00,0.00,-1.415,3.558,452.09
2025-05-05 03:31:50.799,4300,11.94,23.88,0.00,0.00,-1.415,3.557,452.09
2025-05-05 03:31:50.902,4400,11.94,11.94,0.00,0.00,-1.415,3.557,449.80
2025-05-05 03:31:51.000,4500,11.94,11.94,0.00,0.00,-1.433,3.557,449.80
2025-05-05 03:31:51.103,4600,11.94,11.94,0.00,0.00,-1.433,3.546,463.97
2025-05-05 03:31:51.201,4700,11.94,11.94,0.00,0.00,-1.719,3.546,463.97
2025-05-05 03:31:51.299,4800,11.94,0.00,0.00,0.00,-1.719,3.547,463.97
2025-05-05 03:31:51.401,4900,23.88,11.94,0.00,0.00,-1.719,3.547,444.86
2025-05-05 03:31:51.500,5000,11.94,11.94,0.00,0.00,-1.182,3.547,444.86
2025-05-05 03:31:51.598,5100,11.94,11.94,0.00,0.00,-1.182,3.557,444.86
2025-05-05 03:31:51.701,5200,11.94,11.94,0.00,0.00,-1.504,3.557,460.20
2025-05-05 03:31:51.799,5300,11.94,11.94,0.00,0.00,-1.504,3.574,460.20
2025-05-05 03:31:51.901,5400,11.94,11.94,0.00,0.00,-1.504,3.574,445.87
2025-05-05 03:31:52.000,5500,11.94,11.94,0.00,0.00,-1.433,3.574,445.87
2025-05-05 03:31:52.098,5600,11.94,23.88,0.00,0.00,-1.433,3.548,445.87
2025-05-05 03:31:52.200,5700,11.94,11.94,0.00,0.00,-1.415,3.548,448.34
2025-05-05 03:31:52.299,5800,11.94,11.94,0.00,0.00,-1.415,3.527,448.34
2025-05-05 03:31:52.401,5900,11.94,11.94,0.00,0.00,-1.415,3.527,458.97
2025-05-05 03:31:52.499,6000,11.94,11.94,0.00,0.00,-1.522,3.527,458.97
2025-05-05 03:31:52.602,6100,11.94,11.94,0.00,0.00,-1.522,3.554,446.07
2025-05-05 03:31:52.700,6200,11.94,11.94,0.00,0.00,-1.630,3.554,446.07
2025-05-05 03:31:52.798,6300,11.94,11.94,0.00,0.00,-1.630,3.569,446.07
2025-05-05 03:31:52.901,6400,11.94,11.94,0.00,0.00,-1.630,3.569,457.64
2025-05-05 03:31:52.999,6500,11.94,11.94,0.00,0.00,-1.934,3.569,457.64
2025-05-05 03:31:53.101,6600,11.94,11.94,0.00,0.00,-1.934,3.540,446.45
2025-05-05 03:31:53.200,6700,11.94,23.88,0.00,0.00,-1.540,3.540,446.45
2025-05-05 03:31:53.298,6800,11.94,11.94,0.00,0.00,-1.540,3.534,446.45
2025-05-05 03:31:53.400,6900,11.94,23.88,0.00,0.00,-1.540,3.534,451.18
2025-05-05 03:31:53.499,7000,11.94,23.88,0.00,0.00,-1.576,3.534,451.18
2025-05-05 03:31:53.597,7100,11.94,11.94,0.00,0.00,-1.576,3.562,451.18
2025-05-05 03:31:53.699,7200,11.94,11.94,0.00,0.00,-1.307,3.562,454.78
2025-05-05 03:31:53.798,7300,11.94,11.94,0.00,0.00,-1.307,3.555,454.78
2025-05-05 03:31:53.900,7400,11.94,11.94,0.00,0.00,-1.307,3.555,465.08
2025-05-05 03:31:53.998,7500,11.94,11.94,0.00,0.00,-1.845,3.555,465.08
2025-05-05 03:31:54.097,7600,11.94,11.94,0.00,0.00,-1.845,3.519,465.08
2025-05-05 03:31:54.199,7700,11.94,11.94,0.00,0.00,-1.415,3.519,443.59
2025-05-05 03:31:54.298,7800,11.94,23.88,0.00,0.00,-1.415,3.536,443.59
2025-05-05 03:31:54.400,7900,11.94,11.94,0.00,0.00,-1.415,3.536,449.00
2025-05-05 03:31:54.499,8000,11.94,11.94,0.00,0.00,-1.898,3.536,449.00
2025-05-05 03:31:54.601,8100,11.94,11.94,0.00,0.00,-1.898,3.555,448.69
2025-05-05 03:31:54.699,8200,11.94,11.94,0.00,0.00,-1.397,3.555,448.69
2025-05-05 03:31:54.798,8300,11.94,11.94,0.00,0.00,-1.397,3.560,448.69
2025-05-05 03:31:54.901,8400,11.94,11.94,0.00,0.00,-1.397,3.560,450.59
2025-05-05 03:31:54.998,8500,11.94,11.94,0.00,0.00,-2.024,3.560,450.59
2025-05-05 03:31:55.102,8600,11.94,11.94,0.00,0.00,-2.024,3.545,450.93
2025-05-05 03:31:55.200,8700,11.94,11.94,0.00,0.00,-1.558,3.545,450.93
2025-05-05 03:31:55.297,8800,11.94,11.94,0.00,0.00,-1.558,3.546,450.93
2025-05-05 03:31:55.400,8900,11.94,11.94,0.00,0.00,-1.558,3.546,447.36
2025-05-05 03:31:55.498,9000,11.94,11.94,0.00,0.00,-1.809,3.546,447.36
2025-05-05 03:31:55.596,9100,0.00,11.94,0.00,0.00,-1.809,3.561,447.36
2025-05-05 03:31:55.699,9200,11.94,23.88,0.00,0.00,-1.379,3.561,458.53
2025-05-05 03:31:55.797,9300,11.94,11.94,0.00,0.00,-1.379,3.567,458.53
2025-05-05 03:31:55.900,9400,11.94,11.94,0.00,0.00,-1.379,3.567,442.54
2025-05-05 03:31:55.997,9500,11.94,11.94,0.00,0.00,-1.862,3.567,442.54
2025-05-05 03:31:56.097,9600,11.94,11.94,0.00,0.00,-1.862,3.551,442.54
2025-05-05 03:31:56.198,9700,11.94,11.94,0.00,0.00,-1.486,3.551,450.42
2025-05-05 03:31:56.296,9800,11.94,11.94,0.00,0.00,-1.486,3.531,450.42
2025-05-05 03:31:56.399,9900,11.94,11.94,0.00,0.00,-1.486,3.531,454.58
2025-05-05 03:31:56.497,10000,11.94,11.94,0.00,0.00,-1.665,3.531,454.58
2025-05-05 03:31:56.599,10100,11.94,11.94,0.00,0.00,-1.665,3.556,447.86
2025-05-05 03:31:56.698,10200,11.94,11.94,0.00,0.00,-1.236,3.556,447.86
2025-05-05 03:31:56.800,10300,11.94,11.94,0.00,0.00,-1.236,3.562,447.86
2025-05-05 03:31:56.898,10400,11.94,11.94,0.00,0.00,-1.236,3.562,457.34
2025-05-05 03:31:56.997,10500,11.94,11.94,0.00,0.00,-1.665,3.562,457.34
2025-05-05 03:31:57.099,10600,11.94,11.94,0.00,0.00,-1.665,3.558,446.32
2025-05-05 03:31:57.197,10700,11.94,11.94,0.00,0.00,-1.594,3.558,446.32
2025-05-05 03:31:57.296,10800,11.94,11.94,0.00,0.00,-1.594,3.553,446.32
2025-05-05 03:31:57.398,10900,11.94,11.94,0.00,0.00,-1.594,3.553,452.53
2025-05-05 03:31:57.496,11000,11.94,11.94,0.00,0.00,-1.755,3.553,452.53
2025-05-05 03:31:57.599,11100,11.94,11.94,0.00,0.00,-1.755,3.565,454.86
2025-05-05 03:31:57.697,11200,11.94,11.94,0.00,0.00,-1.057,3.565,454.86
2025-05-05 03:31:57.799,11300,11.94,11.94,0.00,0.00,-1.057,3.551,454.86
2025-05-05 03:31:57.898,11400,11.94,11.94,0.00,0.00,-1.057,3.551,448.79
2025-05-05 03:31:57.996,11500,11.94,23.88,0.00,0.00,-1.486,3.551,448.79
2025-05-05 03:31:58.098,11600,11.94,11.94,0.00,0.00,-1.486,3.566,455.50
2025-05-05 03:31:58.197,11700,11.94,11.94,0.00,0.00,-1.272,3.566,455.50
2025-05-05 03:31:58.299,11800,11.94,11.94,0.00,0.00,-1.272,3.551,455.50
2025-05-05 03:31:58.397,11900,11.94,23.88,0.00,0.00,-1.272,3.551,442.56
2025-05-05 03:31:58.496,12000,11.94,11.94,0.00,0.00,-1.468,3.551,442.56
2025-05-05 03:31:58.598,12100,11.94,23.88,0.00,0.00,-1.468,3.567,442.21
2025-05-05 03:31:58.696,12200,11.94,11.94,0.00,0.00,-1.433,3.567,442.21
2025-05-05 03:31:58.799,12300,11.94,11.94,0.00,0.00,-1.433,3.566,442.21
2025-05-05 03:31:58.897,12400,11.94,11.94,0.00,0.00,-1.433,3.566,454.49
2025-05-05 03:31:58.999,12500,11.94,11.94,0.00,0.00,-1.379,3.566,454.49
2025-05-05 03:31:59.098,12600,11.94,11.94,0.00,0.00,-1.379,3.572,437.46
2025-05-05 03:31:59.196,12700,11.94,11.94,0.00,0.00,-1.092,3.572,437.46
2025-05-05 03:31:59.294,12800,11.94,11.94,0.00,0.00,-1.092,3.543,437.46
