Pi Timestamp,Arduino Time (ms),Inlet Flow (L/min),Outlet Flow (L/min),Inlet Pressure (PSI),Outlet Pressure (PSI),Motor Current (A),Motor Voltage (V),Motor RPM
2025-05-05 03:34:40.854,200,0.00,23.88,0.00,0.00,-3.349,4.277,736.68
2025-05-05 03:34:40.854,300,0.00,23.88,0.00,0.00,-3.349,4.277,736.68
2025-05-05 03:34:40.855,400,0.00,11.94,0.00,0.00,-3.349,4.277,736.68
2025-05-05 03:34:40.897,500,23.88,11.94,0.00,0.00,-3.349,4.277,736.68
2025-05-05 03:34:40.990,600,11.94,23.88,0.00,0.00,-3.349,4.044,736.68
2025-05-05 03:34:41.093,700,23.88,11.94,0.00,0.00,-3.349,4.044,722.93
2025-05-05 03:34:41.191,800,11.94,23.88,0.00,0.00,-4.101,4.116,722.93
2025-05-05 03:34:41.291,900,23.88,11.94,0.00,0.00,-4.101,4.116,722.93
2025-05-05 03:34:41.392,1000,23.88,23.88,0.00,0.00,-3.277,4.116,710.16
2025-05-05 03:34:41.494,1100,11.94,23.88,0.00,0.00,-3.277,3.969,710.16
2025-05-05 03:34:41.592,1200,23.88,11.94,0.00,0.00,-3.277,3.969,690.23
2025-05-05 03:34:41.690,1300,11.94,23.88,0.00,0.00,-3.886,3.911,690.23
2025-05-05 03:34:41.793,1400,23.88,11.94,0.00,0.00,-3.886,3.911,690.23
2025-05-05 03:34:41.891,1500,11.94,23.88,0.00,0.00,-3.385,3.911,689.19
2025-05-05 03:34:41.995,1600,23.88,11.94,0.00,0.00,-3.385,4.039,689.19
2025-05-05 03:34:42.092,1700,23.88,23.88,0.00,0.00,-3.385,4.039,687.78
2025-05-05 03:34:42.190,1800,11.94,11.94,0.00,0.00,-4.191,4.044,687.78
2025-05-05 03:34:42.292,1900,23.88,23.88,0.00,0.00,-4.191,4.044,687.78
2025-05-05 03:34:42.391,2000,11.94,35.82,0.00,0.00,-3.510,4.044,691.85
2025-05-05 03:34:42.493,2100,23.88,23.88,0.00,0.00,-3.510,4.011,691.85
2025-05-05 03:34:42.591,2200,11.94,11.94,0.00,0.00,-3.510,4.011,689.63
2025-05-05 03:34:42.694,2300,23.88,23.88,0.00,0.00,-4.155,4.049,689.63
2025-05-05 03:34:42.792,2400,11.94,11.94,0.00,0.00,-4.155,4.049,689.63
2025-05-05 03:34:42.891,2500,23.88,23.88,0.00,0.00,-3.510,4.049,689.72
2025-05-05 03:34:42.993,2600,23.88,11.94,0.00,0.00,-3.510,3.944,689.72
2025-05-05 03:34:43.091,2700,11.94,23.88,0.00,0.00,-3.510,3.944,695.64
2025-05-05 03:34:43.189,2800,11.94,11.94,0.00,0.00,-4.101,3.820,695.64
2025-05-05 03:34:43.292,2900,23.88,23.88,0.00,0.00,-4.101,3.820,695.64
2025-05-05 03:34:43.390,3000,11.94,11.94,0.00,0.00,-4.101,3.820,690.61
2025-05-05 03:34:43.492,3100,23.88,23.88,0.00,0.00,-3.420,3.803,690.61
2025-05-05 03:34:43.590,3200,11.94,11.94,0.00,0.00,-3.420,3.803,690.61
2025-05-05 03:34:43.689,3300,23.88,23.88,0.00,0.00,-4.137,3.911,697.43
2025-05-05 03:34:43.791,3400,11.94,11.94,0.00,0.00,-4.137,3.911,697.43
2025-05-05 03:34:43.889,3500,23.88,23.88,0.00,0.00,-4.137,3.911,686.71
2025-05-05 03:34:43.992,3600,11.94,11.94,0.00,0.00,-4.191,3.953,686.71
2025-05-05 03:34:44.090,3700,23.88,23.88,0.00,0.00,-4.191,3.953,686.71
2025-05-05 03:34:44.188,3800,11.94,23.88,0.00,0.00,-3.456,4.135,707.03
2025-05-05 03:34:44.291,3900,23.88,23.88,0.00,0.00,-3.456,4.135,707.03
2025-05-05 03:34:44.389,4000,11.94,47.76,0.00,0.00,-3.456,4.135,679.53
2025-05-05 03:34:44.492,4100,11.94,11.94,0.00,0.00,0.215,3.936,679.53
2025-05-05 03:34:44.590,4200,23.88,23.88,0.00,0.00,0.215,3.936,679.53
2025-05-05 03:34:44.692,4300,11.94,11.94,0.00,0.00,-4.065,3.919,697.70
2025-05-05 03:34:44.791,4400,23.88,23.88,0.00,0.00,-4.065,3.919,697.70
2025-05-05 03:34:44.889,4500,11.94,23.88,0.00,0.00,-4.065,3.919,695.03
2025-05-05 03:34:44.991,4600,23.88,11.94,0.00,0.00,0.269,4.147,695.03
2025-05-05 03:34:45.090,4700,11.94,23.88,0.00,0.00,0.269,4.147,695.03
2025-05-05 03:34:45.188,4800,11.94,23.88,0.00,0.00,0.269,3.859,689.40
2025-05-05 03:34:45.291,4900,23.88,11.94,0.00,0.00,-4.083,3.859,689.40
2025-05-05 03:34:45.389,5000,11.94,23.88,0.00,0.00,-4.083,3.859,695.30
2025-05-05 03:34:45.491,5100,23.88,11.94,0.00,0.00,0.269,3.959,695.30
2025-05-05 03:34:45.590,5200,11.94,23.88,0.00,0.00,0.269,3.959,695.30
2025-05-05 03:34:45.688,5300,23.88,11.94,0.00,0.00,0.269,3.949,694.32
2025-05-05 03:34:45.791,5400,11.94,23.88,0.00,0.00,-3.994,3.949,694.32
2025-05-05 03:34:45.889,5500,23.88,11.94,0.00,0.00,-3.994,3.949,694.32
2025-05-05 03:34:45.991,5600,11.94,23.88,0.00,0.00,0.269,3.970,699.84
2025-05-05 03:34:46.089,5700,11.94,11.94,0.00,0.00,0.269,3.970,699.84
2025-05-05 03:34:46.191,5800,23.88,23.88,0.00,0.00,0.269,3.902,697.82
2025-05-05 03:34:46.290,5900,11.94,11.94,0.00,0.00,-3.940,3.902,697.82
2025-05-05 03:34:46.388,6000,23.88,11.94,0.00,0.00,-3.940,3.902,697.82
2025-05-05 03:34:46.490,6100,11.94,23.88,0.00,0.00,0.358,3.893,695.02
2025-05-05 03:34:46.589,6200,23.88,11.94,0.00,0.00,0.358,3.893,695.02
2025-05-05 03:34:46.691,6300,11.94,23.88,0.00,0.00,0.358,3.981,694.56
2025-05-05 03:34:46.789,6400,23.88,11.94,0.00,0.00,-3.958,3.981,694.56
2025-05-05 03:34:46.888,6500,11.94,23.88,0.00,0.00,-3.958,3.981,694.56
2025-05-05 03:34:46.990,6600,11.94,11.94,0.00,0.00,0.340,3.820,697.56
2025-05-05 03:34:47.088,6700,23.88,23.88,0.00,0.00,0.340,3.820,697.56
2025-05-05 03:34:47.187,6800,11.94,11.94,0.00,0.00,0.340,4.015,698.41
2025-05-05 03:34:47.289,6900,23.88,23.88,0.00,0.00,-3.940,4.015,698.41
2025-05-05 03:34:47.387,7000,11.94,23.88,0.00,0.00,-3.940,4.015,698.41
2025-05-05 03:34:47.490,7100,23.88,23.88,0.00,0.00,0.233,3.772,683.59
2025-05-05 03:34:47.588,7200,11.94,11.94,0.00,0.00,0.233,3.772,683.59
2025-05-05 03:34:47.686,7300,23.88,23.88,0.00,0.00,0.233,3.802,681.83
2025-05-05 03:34:47.789,7400,11.94,11.94,0.00,0.00,-4.011,3.802,681.83
2025-05-05 03:34:47.887,7500,11.94,23.88,0.00,0.00,-4.011,3.802,681.83
2025-05-05 03:34:47.989,7600,23.88,11.94,0.00,0.00,-4.011,4.037,693.66
2025-05-05 03:34:48.088,7700,11.94,23.88,0.00,0.00,0.340,4.037,693.66
2025-05-05 03:34:48.190,7800,23.88,11.94,0.00,0.00,0.340,3.973,693.66
2025-05-05 03:34:48.289,7900,11.94,23.88,0.00,0.00,-4.119,3.973,686.48
2025-05-05 03:34:48.387,8000,11.94,11.94,0.00,0.00,-4.119,3.973,686.48
2025-05-05 03:34:48.489,8100,23.88,23.88,0.00,0.00,-4.119,4.072,701.53
2025-05-05 03:34:48.588,8200,11.94,11.94,0.00,0.00,0.340,4.072,701.53
2025-05-05 03:34:48.690,8300,23.88,23.88,0.00,0.00,0.340,3.936,701.53
2025-05-05 03:34:48.788,8400,11.94,11.94,0.00,0.00,-0.609,3.936,712.83
2025-05-05 03:34:48.887,8500,23.88,11.94,0.00,0.00,-0.609,3.936,712.83
2025-05-05 03:34:48.989,8600,11.94,23.88,0.00,0.00,-0.609,4.174,679.84
2025-05-05 03:34:49.087,8700,11.94,11.94,0.00,0.00,-4.370,4.174,679.84
2025-05-05 03:34:49.186,8800,23.88,23.88,0.00,0.00,-4.370,4.160,679.84
2025-05-05 03:34:49.288,8900,11.94,23.88,0.00,0.00,-0.663,4.160,705.07
