Pi Timestamp,Arduino Time (ms),Inlet Flow (L/min),Outlet Flow (L/min),Inlet Pressure (PSI),Outlet Pressure (PSI),Motor Current (A),Motor Voltage (V),Motor RPM
2025-05-04 16:21:48.846,200,0.00,0.00,0.00,0.00,-1.075,6.455,850.12
2025-05-04 16:21:48.847,300,0.00,0.00,0.00,0.00,-1.075,6.455,850.12
2025-05-04 16:21:48.848,400,0.00,0.00,0.00,0.00,-1.075,6.455,850.12
2025-05-04 16:21:48.875,500,0.00,0.00,0.00,0.00,-1.630,6.455,850.12
2025-05-04 16:21:48.973,600,0.00,0.00,0.00,0.00,-1.630,6.303,850.12
2025-05-04 16:21:49.080,700,0.00,0.00,0.00,0.00,-1.630,6.303,867.93
2025-05-04 16:21:49.177,800,0.00,0.00,0.00,0.00,-3.152,6.303,867.93
2025-05-04 16:21:49.276,900,0.00,0.00,0.00,0.00,-3.152,6.167,867.93
2025-05-04 16:21:49.374,1000,0.00,0.00,0.00,0.00,-1.200,6.167,882.06
2025-05-04 16:21:49.478,1100,0.00,0.00,0.00,0.00,-1.200,5.888,882.06
2025-05-04 16:21:49.576,1200,0.00,0.00,0.00,0.00,-1.200,5.888,888.53
2025-05-04 16:21:49.673,1300,0.00,0.00,0.00,0.00,-0.877,5.888,888.53
2025-05-04 16:21:49.776,1400,0.00,0.00,0.00,0.00,-0.877,6.860,888.53
2025-05-04 16:21:49.874,1500,0.00,0.00,0.00,0.00,-1.003,6.860,868.35
2025-05-04 16:21:49.976,1600,0.00,0.00,0.00,0.00,-1.003,6.367,868.35
2025-05-04 16:21:50.075,1700,0.00,0.00,0.00,0.00,-1.003,6.367,860.77
2025-05-04 16:21:50.173,1800,0.00,0.00,0.00,0.00,-1.468,6.367,860.77
2025-05-04 16:21:50.277,1900,0.00,0.00,0.00,0.00,-1.468,6.566,860.77
2025-05-04 16:21:50.385,2000,0.00,80.00,0.00,0.00,-2.794,6.566,855.20
2025-05-04 16:21:50.476,2100,0.00,0.00,0.00,0.00,-2.794,6.231,855.20
2025-05-04 16:21:50.575,2200,0.00,0.00,0.00,0.00,-2.794,6.231,840.44
2025-05-04 16:21:50.678,2300,0.00,0.00,0.00,0.00,-2.973,6.231,840.44
2025-05-04 16:21:50.775,2400,0.00,0.00,0.00,0.00,-2.973,5.605,840.44
2025-05-04 16:21:50.874,2500,0.00,0.00,0.00,0.00,-1.862,5.605,838.85
2025-05-04 16:21:50.976,2600,0.00,0.00,0.00,0.00,-1.862,6.030,838.85
2025-05-04 16:21:51.074,2700,0.00,0.00,0.00,0.00,-1.862,6.030,824.59
2025-05-04 16:21:51.177,2800,0.00,0.00,0.00,0.00,-0.967,6.030,824.59
2025-05-04 16:21:51.274,2900,0.00,0.00,0.00,0.00,-0.967,6.087,824.59
2025-05-04 16:21:51.373,3000,0.00,0.00,0.00,0.00,-3.402,6.087,822.80
2025-05-04 16:21:51.475,3100,0.00,0.00,0.00,0.00,-3.402,6.216,822.80
2025-05-04 16:21:51.573,3200,0.00,0.00,0.00,0.00,-3.402,6.216,810.31
2025-05-04 16:21:51.674,3300,0.00,0.00,0.00,0.00,-0.573,6.216,810.31
2025-05-04 16:21:51.774,3400,0.00,0.00,0.00,0.00,-0.573,5.903,810.31
2025-05-04 16:21:51.875,3500,0.00,0.00,0.00,0.00,-0.609,5.903,801.92
2025-05-04 16:21:51.976,3600,0.00,0.00,0.00,0.00,-0.609,5.589,801.92
2025-05-04 16:21:52.074,3700,0.00,0.00,0.00,0.00,-0.609,5.589,790.54
2025-05-04 16:21:52.172,3800,0.00,0.00,0.00,0.00,-3.259,5.589,790.54
2025-05-04 16:21:52.274,3900,0.00,0.00,0.00,0.00,-3.259,5.638,790.54
2025-05-04 16:21:52.374,4000,0.00,0.00,0.00,0.00,-2.346,5.638,780.55
2025-05-04 16:21:52.475,4100,0.00,0.00,0.00,0.00,-2.346,5.888,780.55
2025-05-04 16:21:52.573,4200,0.00,0.00,0.00,0.00,-2.346,5.888,782.20
2025-05-04 16:21:52.678,4300,0.00,0.00,0.00,0.00,-1.164,5.888,782.20
2025-05-04 16:21:52.774,4400,0.00,80.00,0.00,0.00,-1.164,6.058,782.20
2025-05-04 16:21:52.873,4500,0.00,0.00,0.00,0.00,-2.364,6.058,781.14
2025-05-04 16:21:52.974,4600,0.00,0.00,0.00,0.00,-2.364,5.647,781.14
2025-05-04 16:21:53.075,4700,0.00,0.00,0.00,0.00,-2.364,5.647,790.65
2025-05-04 16:21:53.175,4800,0.00,0.00,0.00,0.00,-1.719,5.647,790.65
2025-05-04 16:21:53.274,4900,0.00,0.00,0.00,0.00,-1.719,5.670,790.65
2025-05-04 16:21:53.372,5000,0.00,0.00,0.00,0.00,-1.719,5.670,790.87
2025-05-04 16:21:53.474,5100,0.00,0.00,0.00,0.00,-1.325,5.677,790.87
2025-05-04 16:21:53.576,5200,0.00,0.00,0.00,0.00,-1.325,5.677,800.04
2025-05-04 16:21:53.675,5300,0.00,80.00,0.00,0.00,-1.612,5.677,800.04
2025-05-04 16:21:53.778,5400,0.00,0.00,0.00,0.00,-1.612,5.625,800.04
2025-05-04 16:21:53.881,5500,0.00,0.00,0.00,0.00,-1.218,5.625,801.54
2025-05-04 16:21:53.976,5600,0.00,0.00,0.00,0.00,-1.218,6.286,801.54
2025-05-04 16:21:54.075,5700,0.00,0.00,0.00,0.00,-1.218,6.286,811.72
2025-05-04 16:21:54.175,5800,0.00,0.00,0.00,0.00,-1.504,6.286,811.72
2025-05-04 16:21:54.274,5900,0.00,0.00,0.00,0.00,-1.504,6.025,811.72
2025-05-04 16:21:54.371,6000,0.00,0.00,0.00,0.00,-1.504,6.025,815.97
2025-05-04 16:21:54.474,6100,0.00,0.00,0.00,0.00,-1.630,6.203,815.97
2025-05-04 16:21:54.573,6200,0.00,0.00,0.00,0.00,-1.630,6.203,833.37
2025-05-04 16:21:54.674,6300,0.00,0.00,0.00,0.00,-2.812,6.203,833.37
2025-05-04 16:21:54.775,6400,0.00,0.00,0.00,0.00,-2.812,6.301,833.37
2025-05-04 16:21:54.871,6500,0.00,0.00,0.00,0.00,-1.862,6.301,828.73
2025-05-04 16:21:54.973,6600,0.00,0.00,0.00,0.00,-1.862,5.876,828.73
2025-05-04 16:21:55.072,6700,0.00,0.00,0.00,0.00,-1.862,5.876,833.77
2025-05-04 16:21:55.176,6800,0.00,80.00,0.00,0.00,-2.418,5.876,833.77
2025-05-04 16:21:55.272,6900,0.00,0.00,0.00,0.00,-2.418,6.302,833.77
2025-05-04 16:21:55.374,7000,0.00,0.00,0.00,0.00,-3.205,6.302,840.18
2025-05-04 16:21:55.473,7100,0.00,0.00,0.00,0.00,-3.205,6.036,840.18
2025-05-04 16:21:55.571,7200,0.00,0.00,0.00,0.00,-3.205,6.036,837.76
2025-05-04 16:21:55.672,7300,0.00,0.00,0.00,0.00,-0.806,6.036,837.76
2025-05-04 16:21:55.774,7400,0.00,0.00,0.00,0.00,-0.806,6.446,837.76
2025-05-04 16:21:55.870,7500,0.00,0.00,0.00,0.00,-3.349,6.446,846.97
2025-05-04 16:21:55.973,7600,0.00,0.00,0.00,0.00,-3.349,5.631,846.97
2025-05-04 16:21:56.072,7700,0.00,0.00,0.00,0.00,-3.349,5.631,846.99
2025-05-04 16:21:56.174,7800,0.00,0.00,0.00,0.00,-0.627,5.631,846.99
2025-05-04 16:21:56.271,7900,0.00,0.00,0.00,0.00,-0.627,6.170,846.99
2025-05-04 16:21:56.371,8000,0.00,0.00,0.00,0.00,-0.716,6.170,852.23
2025-05-04 16:21:56.472,8100,0.00,0.00,0.00,0.00,-0.716,5.965,852.23
2025-05-04 16:21:56.571,8200,0.00,0.00,0.00,0.00,-0.716,5.965,859.97
2025-05-04 16:21:56.676,8300,0.00,0.00,0.00,0.00,-1.630,5.965,859.97
2025-05-04 16:21:56.772,8400,0.00,0.00,0.00,0.00,-1.630,6.364,859.97
2025-05-04 16:21:56.870,8500,0.00,0.00,0.00,0.00,-1.719,6.364,854.60
2025-05-04 16:21:56.976,8600,0.00,0.00,0.00,0.00,-1.719,6.339,854.60
2025-05-04 16:21:57.071,8700,0.00,0.00,0.00,0.00,-1.719,6.339,855.98
2025-05-04 16:21:57.169,8800,0.00,0.00,0.00,0.00,-3.205,6.339,855.98
2025-05-04 16:21:57.272,8900,0.00,0.00,0.00,0.00,-3.205,6.105,855.98
2025-05-04 16:21:57.371,9000,0.00,0.00,0.00,0.00,-3.295,6.105,848.77
2025-05-04 16:21:57.475,9100,0.00,0.00,0.00,0.00,-3.295,6.108,848.77
2025-05-04 16:21:57.570,9200,0.00,0.00,0.00,0.00,-3.295,6.108,846.33
