Pi Timestamp,Arduino Time (ms),Inlet Flow (L/min),Outlet Flow (L/min),Inlet Pressure (PSI),Outlet Pressure (PSI),Motor Current (A),Motor Voltage (V),Motor RPM
2025-05-04 17:05:14.973,200,0.00,0.00,0.00,0.00,-3.671,7.661,1249.46
2025-05-04 17:05:14.974,300,0.00,0.00,0.00,0.00,-3.671,7.661,1249.46
2025-05-04 17:05:14.975,400,0.00,0.00,0.00,0.00,-3.671,7.661,1249.46
2025-05-04 17:05:15.008,500,0.00,0.00,0.00,0.00,-3.671,7.661,1249.46
2025-05-04 17:05:15.108,600,0.00,0.00,0.00,0.00,-3.671,8.404,1358.53
2025-05-04 17:05:15.209,700,0.00,0.00,0.00,0.00,-0.143,8.404,1358.53
2025-05-04 17:05:15.308,800,0.00,0.00,0.00,0.00,-0.143,8.799,1358.53
2025-05-04 17:05:15.412,900,80.00,0.00,0.00,0.00,-0.143,8.799,1448.88
2025-05-04 17:05:15.512,1000,0.00,80.00,0.00,0.00,-3.940,8.799,1448.88
2025-05-04 17:05:15.611,1100,0.00,0.00,0.00,0.00,-3.940,9.239,1508.22
2025-05-04 17:05:15.708,1200,0.00,0.00,0.00,0.00,-2.256,9.239,1508.22
2025-05-04 17:05:15.811,1300,80.00,0.00,0.00,0.00,-2.256,9.150,1508.22
2025-05-04 17:05:15.914,1400,0.00,0.00,0.00,0.00,-2.256,9.150,1569.41
2025-05-04 17:05:16.011,1500,80.00,0.00,0.00,0.00,-2.131,9.773,1569.41
2025-05-04 17:05:16.110,1600,80.00,0.00,0.00,0.00,-2.131,9.773,1621.52
2025-05-04 17:05:16.212,1700,80.00,0.00,0.00,0.00,-0.519,9.773,1621.52
2025-05-04 17:05:16.310,1800,0.00,0.00,0.00,0.00,-0.519,9.721,1621.52
2025-05-04 17:05:16.409,1900,80.00,0.00,0.00,0.00,-0.519,9.721,1645.05
2025-05-04 17:05:16.512,2000,80.00,0.00,0.00,0.00,-3.313,9.963,1645.05
2025-05-04 17:05:16.610,2100,0.00,0.00,0.00,0.00,-3.313,9.963,1681.90
2025-05-04 17:05:16.712,2200,80.00,0.00,0.00,0.00,-2.024,9.963,1681.90
2025-05-04 17:05:16.811,2300,80.00,0.00,0.00,0.00,-2.024,10.096,1681.90
2025-05-04 17:05:16.908,2400,80.00,0.00,0.00,0.00,-2.024,10.096,1719.58
2025-05-04 17:05:17.011,2500,80.00,0.00,0.00,0.00,-1.755,10.399,1719.58
2025-05-04 17:05:17.109,2600,80.00,0.00,0.00,0.00,-1.755,10.399,1758.68
2025-05-04 17:05:17.207,2700,80.00,0.00,0.00,0.00,-1.916,10.399,1758.68
2025-05-04 17:05:17.310,2800,80.00,0.00,0.00,0.00,-1.916,10.195,1758.68
2025-05-04 17:05:17.409,2900,80.00,0.00,0.00,0.00,-1.916,10.195,1778.22
2025-05-04 17:05:17.511,3000,80.00,0.00,0.00,0.00,-3.420,10.041,1778.22
2025-05-04 17:05:17.609,3100,80.00,0.00,0.00,0.00,-3.420,10.041,1793.39
2025-05-04 17:05:17.711,3200,160.00,0.00,0.00,0.00,-2.131,10.041,1793.39
2025-05-04 17:05:17.809,3300,80.00,0.00,0.00,0.00,-2.131,10.559,1793.39
2025-05-04 17:05:17.912,3400,240.00,0.00,0.00,0.00,-2.131,10.559,1830.19
2025-05-04 17:05:18.010,3500,80.00,0.00,0.00,0.00,0.000,10.863,1830.19
2025-05-04 17:05:18.109,3600,160.00,0.00,0.00,0.00,0.000,10.863,1875.01
