Pi Timestamp,Arduino Time (ms),Inlet Flow (L/min),Outlet Flow (L/min),Inlet Pressure (PSI),Outlet Pressure (PSI)
2025-05-03 19:32:08.621,151200,0.00,0.00,0.00,0.00
2025-05-03 19:32:08.622,151300,0.00,0.00,0.00,0.00
2025-05-03 19:32:08.623,151400,0.00,0.00,0.00,0.00
2025-05-03 19:32:08.624,200,0.00,0.00,0.00,0.00
2025-05-03 19:32:08.625,300,0.00,0.00,0.00,0.00
2025-05-03 19:32:08.626,400,0.00,0.00,0.00,0.00
2025-05-03 19:32:08.656,500,0.00,0.00,0.00,0.00
2025-05-03 19:32:08.754,600,0.00,0.00,0.00,0.00
2025-05-03 19:32:08.856,700,0.00,0.00,0.00,0.00
2025-05-03 19:32:08.955,800,0.00,0.00,0.00,0.00
2025-05-03 19:32:09.057,900,0.00,0.00,0.00,0.00
2025-05-03 19:32:09.155,1000,0.00,0.00,0.00,0.00
2025-05-03 19:32:09.258,1100,0.00,0.00,0.00,0.00
2025-05-03 19:32:09.358,1200,0.00,0.00,0.00,0.00
2025-05-03 19:32:09.458,1300,0.00,0.00,0.00,0.00
2025-05-03 19:32:09.557,1400,0.00,0.00,0.00,0.00
2025-05-03 19:32:09.655,1500,0.00,0.00,0.00,0.00
2025-05-03 19:32:09.758,1600,0.00,0.00,0.00,0.00
2025-05-03 19:32:09.856,1700,0.00,0.00,0.00,0.00
2025-05-03 19:32:09.959,1800,0.00,0.00,0.00,0.00
2025-05-03 19:32:10.057,1900,0.00,0.00,0.00,0.00
2025-05-03 19:32:10.161,2000,0.00,0.00,0.00,0.00
2025-05-03 19:32:10.258,2100,0.00,0.00,0.00,0.00
2025-05-03 19:32:10.356,2200,0.00,0.00,0.00,0.00
2025-05-03 19:32:10.458,2300,0.00,0.00,0.00,0.00
2025-05-03 19:32:10.556,2400,0.00,0.00,0.00,0.00
2025-05-03 19:32:10.658,2500,0.00,0.00,0.00,0.00
2025-05-03 19:32:10.757,2600,0.00,0.00,0.00,0.00
2025-05-03 19:32:10.855,2700,0.00,0.00,0.00,0.00
2025-05-03 19:32:10.957,2800,0.00,0.00,0.00,0.00
2025-05-03 19:32:11.056,2900,0.00,0.00,0.00,0.00
2025-05-03 19:32:11.154,3000,0.00,0.00,0.00,0.00
2025-05-03 19:32:11.256,3100,0.00,0.00,0.00,0.00
2025-05-03 19:32:11.355,3200,0.00,0.00,0.00,0.00
2025-05-03 19:32:11.457,3300,0.00,0.00,0.00,0.00
2025-05-03 19:32:11.555,3400,0.00,0.00,0.00,0.00
2025-05-03 19:32:11.654,3500,0.00,0.00,0.00,0.00
2025-05-03 19:32:11.756,3600,0.00,0.00,0.00,0.00
2025-05-03 19:32:11.854,3700,0.00,0.00,0.00,0.00
2025-05-03 19:32:11.957,3800,0.00,0.00,0.00,0.00
2025-05-03 19:32:12.055,3900,0.00,0.00,0.00,0.00
2025-05-03 19:32:12.157,4000,0.00,0.00,0.00,0.00
2025-05-03 19:32:12.256,4100,0.00,0.00,0.00,0.00
2025-05-03 19:32:12.354,4200,0.00,0.00,0.00,0.00
2025-05-03 19:32:12.457,4300,0.00,0.00,0.00,0.00
2025-05-03 19:32:12.555,4400,0.00,0.00,0.00,0.00
2025-05-03 19:32:12.657,4500,0.00,0.00,0.00,0.00
2025-05-03 19:32:12.755,4600,0.00,0.00,0.00,0.00
2025-05-03 19:32:12.854,4700,0.00,0.00,0.00,0.00
2025-05-03 19:32:12.956,4800,0.00,0.00,0.00,0.00
2025-05-03 19:32:13.054,4900,0.00,0.00,0.00,0.00
2025-05-03 19:32:13.153,5000,0.00,0.00,0.00,0.00
2025-05-03 19:32:13.255,5100,0.00,0.00,0.00,0.00
2025-05-03 19:32:13.353,5200,0.00,0.00,0.00,0.00
2025-05-03 19:32:13.456,5300,0.00,0.00,0.00,0.00
2025-05-03 19:32:13.554,5400,0.00,0.00,0.00,0.00
2025-05-03 19:32:13.657,5500,0.00,0.00,0.00,0.00
2025-05-03 19:32:13.755,5600,0.00,0.00,0.00,0.00
2025-05-03 19:32:13.853,5700,0.00,0.00,0.00,0.00
2025-05-03 19:32:13.956,5800,0.00,0.00,0.00,0.00
2025-05-03 19:32:14.054,5900,0.00,0.00,0.00,0.00
2025-05-03 19:32:14.156,6000,0.00,0.00,0.00,0.00
2025-05-03 19:32:14.255,6100,0.00,0.00,0.00,0.00
2025-05-03 19:32:14.353,6200,0.00,0.00,0.00,0.00
2025-05-03 19:32:14.456,6300,0.00,0.00,0.00,0.00
2025-05-03 19:32:14.555,6400,0.00,0.00,0.00,0.00
