Pi Timestamp,Arduino Timestamp (s),Voltage (V),Pressure (PSI)
2025-03-23 23:44:50.617,2.000,0.430,0.00
2025-03-23 23:44:51.616,3.000,0.435,0.00
2025-03-23 23:44:52.615,4.000,0.430,0.00
2025-03-23 23:44:53.615,5.000,0.430,0.00
2025-03-23 23:44:54.614,6.000,0.435,0.00
2025-03-23 23:44:55.613,7.000,0.430,0.00
2025-03-23 23:44:56.613,8.000,0.430,0.00
2025-03-23 23:44:57.612,9.000,0.430,0.00
2025-03-23 23:44:58.612,10.000,0.435,0.00
2025-03-23 23:44:59.611,11.000,0.430,0.00
2025-03-23 23:45:00.610,12.000,0.430,0.00
